statement_id,statement_date,operation_label,additional_label,debit,credit,comments,related_invoice_id,related_expense_id,value_date,source_filename
1,2024-09-05,CHÈQUE EXP202400787,REF: EXP202400787 - DIVERS,6296.37,,Paiement depense EXP202400787,,787,2024-09-05,bank_export_20240905.csv
2,2025-05-24,CHÈQUE EXP202506411,REF: EXP202506411 - TRIMESTRIEL,1168.83,,Paiement depense EXP202506411,,6411,2025-05-24,bank_export_20250524.csv
3,2024-10-10,TRANSFERT Licences_Logicielles,REF: EXP202402030 - TRIMESTRIEL,3632.31,,Paiement depense EXP202402030,,2030,2024-10-10,bank_export_20241010.csv
4,2024-10-19,VIR REF EXP202400573,REF: EXP202400573 - ANNUEL,17502.77,,Paiement depense EXP202400573,,573,2024-10-19,bank_export_20241019.csv
5,2024-09-26,VIR REF EXP202403554,REF: EXP202403554 - ANNUEL,7438.04,,Paiement depense EXP202403554,,3554,2024-09-26,bank_export_20240926.csv
6,2024-11-11,VIR REF EXP202405089,REF: EXP202405089 - MENSUEL,752.35,,Paiement depense EXP202405089,,5089,2024-11-11,bank_export_20241111.csv
7,2025-06-10,PRÉLÈVEMENT AUTO Services_Publiques,REF: EXP202501527 - MENSUEL,1455.07,,Paiement depense EXP202501527,,1527,2025-06-10,bank_export_20250610.csv
8,2025-02-26,VIREMENT EXP202500410,REF: EXP202500410 - ANNUEL,1589.07,,Paiement depense EXP202500410,,410,2025-02-26,bank_export_20250226.csv
9,2025-05-09,TRANSFERT Assurances,REF: EXP202500978 - ANNUEL,5059.09,,Paiement depense EXP202500978,,978,2025-05-09,bank_export_20250509.csv
10,2025-02-14,ESPECES Produits de nettoyage,REF: EXP202505897 - DIVERS,673.02,,Paiement depense EXP202505897,,5897,2025-02-14,bank_export_20250214.csv
11,2025-05-21,CHÈQUE N°500821,REF: EXP202500821 - TRIMESTRIEL,1528.71,,Paiement depense EXP202500821,,821,2025-05-21,bank_export_20250521.csv
12,2025-07-16,CB Hébergement AWS,REF: EXP202505856 - MENSUEL,985.52,,Paiement depense EXP202505856,,5856,2025-07-16,bank_export_20250716.csv
13,2025-03-30,PRÉLÈVEMENT AUTO Services_Cloud,REF: EXP202505682 - MENSUEL,1574.72,,Paiement depense EXP202505682,,5682,2025-03-30,bank_export_20250330.csv
14,2024-10-05,VIR REF EXP202403837,REF: EXP202403837 - TRIMESTRIEL,5462.08,,Paiement depense EXP202403837,,3837,2024-10-05,bank_export_20241005.csv
15,2025-02-17,TRANSFERT Équipement,REF: EXP202505948 - DIVERS,3783.02,,Paiement depense EXP202505948,,5948,2025-02-17,bank_export_20250217.csv
