statement_id,statement_date,operation_label,additional_label,debit,credit,comments,related_invoice_id,related_expense_id,value_date,source_filename
1,2025-04-07,REFUND - TRANSFER Insurance PART 1,REF: EXP202500756-P1 - PARTIAL 1/5,1806.29,,,,756,2025-04-07,bank_export_20250407.csv
2,2025-04-16,REFUND - CHECK #500756 PART 2,REF: EXP202500756-P2 - PARTIAL 2/5,395.55,,Partial payment 2 of 5,,756,2025-04-16,bank_export_20250416.csv
3,2025-05-01,REFUND - TRANSFER Insurance PART 3,REF: EXP202500756-P3 - PARTIAL 3/5,347.77,,,,756,2025-05-01,bank_export_20250501.csv
4,2025-05-24,REFUND - CHECK PART EXP202500756 4,REF: EXP202500756-P4 - PARTIAL 4/5,349.26,,Partial payment 4 of 5,,756,2025-05-23,bank_export_20250524.csv
5,2025-05-26,REFUND - CHECK #500756 PART 5,REF: EXP202500756-P5 - PARTIAL 5/5,557.71,,,,756,2025-05-27,bank_export_20250526.csv
6,2025-04-08,REFUND - TRANSFER Equipment PART 1,REF: EXP202501418-P1 - PARTIAL 1/2,776.59,,,,1418,2025-04-10,bank_export_20250408.csv
7,2025-04-07,REFUND - CHECK PART EXP202501418 2,REF: EXP202501418-P2 - PARTIAL 2/2,3990.9,,Partial payment 2 of 2,,1418,2025-04-07,bank_export_20250407.csv
8,2025-03-02,REFUND - RECURRING PART 1/3,REF: EXP202501440-P1 - PARTIAL 1/3,222.16,,,,1440,2025-03-01,bank_export_20250302.csv
9,2025-03-05,REFUND - WIRE PART EXP202501440-2,REF: EXP202501440-P2 - PARTIAL 2/3,201.68,,,,1440,2025-03-04,bank_export_20250305.csv
10,2025-03-08,REFUND - TRANSFER Banking_Fees PART 3,REF: EXP202501440-P3 - PARTIAL 3/3,262.52,,Partial payment 3 of 3,,1440,2025-03-06,bank_export_20250308.csv
11,2025-05-03,REFUND - CHECK PART EXP202500820 1,REF: EXP202500820-P1 - PARTIAL 1/5,1905.7,,,,820,2025-05-02,bank_export_20250503.csv
12,2025-05-18,REFUND - TRF PARTIAL EXP202500820 2/5,REF: EXP202500820-P2 - PARTIAL 2/5,965.62,,,,820,2025-05-19,bank_export_20250518.csv
13,2025-05-19,REFUND - CHECK #500820 PART 3,REF: EXP202500820-P3 - PARTIAL 3/5,550.72,,,,820,2025-05-17,bank_export_20250519.csv
14,2025-06-17,REFUND - TRF PARTIAL EXP202500820 4/5,REF: EXP202500820-P4 - PARTIAL 4/5,1032.07,,Partial payment 4 of 5,,820,2025-06-16,bank_export_20250617.csv
15,2025-06-09,REFUND - CHECK PART EXP202500820 5,REF: EXP202500820-P5 - PARTIAL 5/5,953.73,,,,820,2025-06-09,bank_export_20250609.csv
