statement_id,statement_date,operation_label,additional_label,debit,credit,comments,related_invoice_id,related_expense_id,value_date,source_filename
1,2024-02-27,VIREMENT EXTERNE,AUCUNE REFERENCE,684.68,,Main saison bête longtemps.,,1,2024-02-29,export_bancaire_20240227.csv
2,2025-11-13,DD REF EXP202084497,ERREUR REF - JbC###,2386.54,,,,2,2025-11-12,export_bancaire_20251113.csv
3,2025-01-05,DECAISSEMENT,OPERATION MANUELLE,1210.89,,,,3,2025-01-04,export_bancaire_20250105.csv
4,2024-02-24,DD REF EXP202665961,ERREUR REF - wrL###,1921.21,,,,4,2024-02-22,export_bancaire_20240224.csv
5,2024-10-19,PAIEMENT AUTOMATIQUE,REF MANQUANTE,252.82,,,,5,2024-10-21,export_bancaire_20241019.csv
6,2024-10-28,PRÉLÈVEMENT AUTO Frais_Bancaires,TAUX 1.4323 - Sainte Gilbert,1138.12,,Entourer fortune enlever content brusquement dernier.,,6,2024-10-30,export_bancaire_20241028.csv
7,2024-11-13,CHÈQUE N° #500007,ERREUR REF - bMh###,944.12,,Terrain voilà tracer étage.,,7,2024-11-14,export_bancaire_20241113.csv
8,2025-06-13,PRELEVEMENT SEPA,N/D,11306.48,,Haïr bas possible.,,8,2025-06-11,export_bancaire_20250613.csv
9,2024-10-27,PAIEMENT CB Abonnements,TAUX 0.9037 - Olivier,469.0,,Chasser en sur.,,9,2024-10-29,export_bancaire_20241027.csv
10,2024-08-05,CARTE BANCAIRE,OPERATION MANUELLE,117.64,,,,10,2024-08-06,export_bancaire_20240805.csv
11,2025-06-30,PAIEMENT CB Services_Cloud,ERREUR REF - LfE###,1814.98,,,,11,2025-07-01,export_bancaire_20250630.csv
12,2024-09-21,OPERATION DIVERSE,REF MANQUANTE,2276.86,,,,12,2024-09-23,export_bancaire_20240921.csv
13,2025-06-11,VIREMENT EXTERNE,N/D,4840.86,,Malade dominer sommeil angoisse paraître vif fort.,,13,2025-06-09,export_bancaire_20250611.csv
14,2025-04-28,PAIEMENT CB Abonnements,TAUX 0.8815 - LévyBourg,548.65,,,,14,2025-04-30,export_bancaire_20250428.csv
15,2026-02-15,CARTE BANCAIRE,N/D,711.13,,,,15,2026-02-16,export_bancaire_20260215.csv
16,2025-06-22,VIREMENT  EXP202500016,ERREUR REF - YdO###,735.23,,,,16,2025-06-20,export_bancaire_20250622.csv
17,2024-10-09,CB  Workday,ERREUR REF - xLd###,842.15,,,,17,2024-10-09,export_bancaire_20241009.csv
18,2024-10-27,PRÉLÈVEMENT AUTO Frais_Bancaires,REF: EXP202400018,245.61,,,,18,2024-10-28,export_bancaire_20241027.csv
19,2025-07-24,DECAISSEMENT,rgg-###,2165.1,,,,19,2025-07-26,export_bancaire_20250724.csv
20,2024-08-01,VIREMENT  EXP202400020,ERREUR REF - dBT###,668.52,,Île confiance fatigue acheter.,,20,2024-07-30,export_bancaire_20240801.csv
21,2024-07-21,CAISSE  Maintenance,REF: EXP202500021,2199.64,,Sens divers retenir soulever.,,21,2024-07-21,export_bancaire_20240721.csv
22,2024-08-01,OPERATION DIVERSE,REF MANQUANTE,1477.75,,,,22,2024-08-01,export_bancaire_20240801.csv
23,2024-01-24,CARTE BANCAIRE,N/D,5428.75,,,,23,2024-01-24,export_bancaire_20240124.csv
24,2024-09-20,CHÈQUE  EXP202500024,TAUX 1.2016 - Richardnec,20290.66,,,,24,2024-09-21,export_bancaire_20240920.csv
25,2025-01-08,CHÈQUE  EXP202400025,TAUX 1.0183 - Saint LuceBourg,14110.66,,Mois matin vent devoir.,,25,2025-01-06,export_bancaire_20250108.csv
26,2024-12-05,PAIEMENT AUTOMATIQUE,oVW-###,650.59,,,,26,2024-12-04,export_bancaire_20241205.csv
27,2025-06-19,PAIEMENT CB Services_Cloud,ERREUR REF - RFw###,698.26,,,,27,2025-06-19,export_bancaire_20250619.csv
28,2025-06-06,DECAISSEMENT,OPERATION MANUELLE,4442.37,,,,28,2025-06-07,export_bancaire_20250606.csv
29,2025-01-01,CB  Billets d’avion,TAUX 1.3442 - Valentin,10635.76,,,,29,2024-12-31,export_bancaire_20250101.csv
30,2025-06-23,CB  LinkedIn Recruiter,ERREUR REF - ZED###,196.73,,,,30,2025-06-25,export_bancaire_20250623.csv
31,2024-11-01,RÉCURRENCE DigitalOcean,TAUX 0.7782 - Saint Christine,1465.62,,,,31,2024-11-01,export_bancaire_20241101.csv
32,2023-12-09,CARTE BANCAIRE,OPERATION MANUELLE,551.62,,Franchir proposer charger non sorte nuit recueillir.,,32,2023-12-07,export_bancaire_20231209.csv
33,2025-07-07,REMBOURSEMENT - OPERATION DIVERSE,BxP-###,,1124.1,,,33,2025-07-07,export_bancaire_20250707.csv
34,2025-07-18,VIREMENT EXTERNE,REF MANQUANTE,1194.71,,,,34,2025-07-19,export_bancaire_20250718.csv
35,2025-12-12,CARTE ETRANGERE GBP,TAUX 1.2265 - Collet,1148.09,,,,35,2025-12-13,export_bancaire_20251212.csv
36,2025-06-03,VIR REF EXP202500036,TAUX 1.0996 - Potier,52311.71,,,,36,2025-06-02,export_bancaire_20250603.csv
37,2024-03-19,REMBOURSEMENT - DD REF EXP202277460,ERREUR REF - YAB###,,7671.19,,,37,2024-03-18,export_bancaire_20240319.csv
38,2025-03-20,PAIEMENT CB Services_Publiques,TAUX 1.0073 - VoisinVille,296.07,,,,38,2025-03-21,export_bancaire_20250320.csv
39,2026-02-06,CARTE ETRANGERE EUR,TAUX 1.1282 - Costa,2713.79,,Fille calme nous ajouter ne terre parent.,,39,2026-02-04,export_bancaire_20260206.csv
40,2024-09-12,CARTE ETRANGERE GBP,TAUX 1.0173 - Bouvet,7278.3,,Assister droite ignorer hésiter matin avant soit manger.,,40,2024-09-14,export_bancaire_20240912.csv
41,2026-01-03,VIREMENT  EXP202500041,TAUX 1.0052 - Rousseau,6837.56,,,,41,2026-01-02,export_bancaire_20260103.csv
