statement_id,statement_date,operation_label,additional_label,debit,credit,comments,related_invoice_id,related_expense_id,value_date,source_filename
1,2025-03-10,VIREMENT PARTIE EXP202500113-1,REF: EXP202500113-P1 - PARTIEL 1/2,177.69,,Paiement partiel 1 de 2,,113,2025-03-12,export_bancaire_20250310.csv
2,2025-03-20,PRÉLÈVEMENT PARTIEL Slack Premium 2/2,REF: EXP202500113-P2 - PARTIEL 2/2,597.77,,Paiement partiel 2 de 2,,113,2025-03-21,export_bancaire_20250320.csv
3,2024-09-29,PRÉLÈVEMENT PARTIEL Outils SEO 1/2,REF: EXP202400222-P1 - PARTIEL 1/2,854.27,,Paiement partiel 1 de 2,,222,2024-09-27,export_bancaire_20240929.csv
4,2024-10-01,VIREMENT PARTIE EXP202400222-2,REF: EXP202400222-P2 - PARTIEL 2/2,3012.02,,Paiement partiel 2 de 2,,222,2024-09-30,export_bancaire_20241001.csv
5,2024-09-12,CARTE PARTIE Audit technique 1,REF: EXP202400036-P1 - PARTIEL 1/5,690.73,,Paiement partiel 1 de 5,,36,2024-09-13,export_bancaire_20240912.csv
6,2024-09-19,TRANSFERT Conseil PARTIE 2,REF: EXP202400036-P2 - PARTIEL 2/5,2948.49,,Paiement partiel 2 de 5,,36,2024-09-19,export_bancaire_20240919.csv
7,2024-09-23,CAISSE Conseil PARTIE 3,REF: EXP202400036-P3 - PARTIEL 3/5,468.66,,Paiement partiel 3 de 5,,36,2024-09-23,export_bancaire_20240923.csv
8,2024-10-01,CHÈQUE PARTIE EXP202400036 4,REF: EXP202400036-P4 - PARTIEL 4/5,702.62,,Paiement partiel 4 de 5,,36,2024-09-29,export_bancaire_20241001.csv
9,2024-10-01,CAISSE Conseil PARTIE 5,REF: EXP202400036-P5 - PARTIEL 5/5,1893.24,,Paiement partiel 5 de 5,,36,2024-10-02,export_bancaire_20241001.csv
10,2024-11-01,VIREMENT PARTIE EXP202400145-1,REF: EXP202400145-P1 - PARTIEL 1/5,34.58,,Paiement partiel 1 de 5,,145,2024-11-02,export_bancaire_20241101.csv
11,2024-11-05,PAIEMENT CB Abonnements PARTIE 2,REF: EXP202400145-P2 - PARTIEL 2/5,45.52,,Paiement partiel 2 de 5,,145,2024-11-06,export_bancaire_20241105.csv
12,2024-11-11,RÉCURRENCE PARTIE 3/5,REF: EXP202400145-P3 - PARTIEL 3/5,12.78,,Paiement partiel 3 de 5,,145,2024-11-11,export_bancaire_20241111.csv
13,2024-11-13,TRANSFERT Abonnements PARTIE 4,REF: EXP202400145-P4 - PARTIEL 4/5,34.41,,Paiement partiel 4 de 5,,145,2024-11-12,export_bancaire_20241113.csv
14,2024-11-15,RÉCURRENCE PARTIE 5/5,REF: EXP202400145-P5 - PARTIEL 5/5,28.42,,Paiement partiel 5 de 5,,145,2024-11-15,export_bancaire_20241115.csv
15,2025-04-17,CHÈQUE PARTIE EXP202500229 1,REF: EXP202500229-P1 - PARTIEL 1/4,2744.93,,Paiement partiel 1 de 4,,229,2025-04-17,export_bancaire_20250417.csv
16,2025-04-30,CHÈQUE N°500229 PARTIE 2,REF: EXP202500229-P2 - PARTIEL 2/4,1604.63,,Paiement partiel 2 de 4,,229,2025-05-01,export_bancaire_20250430.csv
17,2025-04-26,CHÈQUE N°500229 PARTIE 3,REF: EXP202500229-P3 - PARTIEL 3/4,912.06,,Paiement partiel 3 de 4,,229,2025-04-24,export_bancaire_20250426.csv
18,2025-05-02,CHÈQUE N°500229 PARTIE 4,REF: EXP202500229-P4 - PARTIEL 4/4,703.51,,Paiement partiel 4 de 4,,229,2025-05-01,export_bancaire_20250502.csv
19,2025-02-27,VIREMENT PARTIEL EXP202500163 1/4,REF: EXP202500163-P1 - PARTIEL 1/4,2948.13,,Paiement partiel 1 de 4,,163,2025-03-01,export_bancaire_20250227.csv
20,2025-03-12,VIREMENT PARTIEL EXP202500163 2/4,REF: EXP202500163-P2 - PARTIEL 2/4,756.78,,Paiement partiel 2 de 4,,163,2025-03-11,export_bancaire_20250312.csv
21,2025-03-25,CHÈQUE PARTIE EXP202500163 3,REF: EXP202500163-P3 - PARTIEL 3/4,219.05,,Paiement partiel 3 de 4,,163,2025-03-26,export_bancaire_20250325.csv
22,2025-03-24,CHÈQUE N°500163 PARTIE 4,REF: EXP202500163-P4 - PARTIEL 4/4,1243.55,,Paiement partiel 4 de 4,,163,2025-03-22,export_bancaire_20250324.csv
23,2025-03-29,TRANSFERT Frais_Bancaires PARTIE 1,REF: EXP202500135-P1 - PARTIEL 1/5,174.39,,Paiement partiel 1 de 5,,135,2025-03-27,export_bancaire_20250329.csv
24,2025-04-06,VIREMENT PARTIEL EXP202500135 2/5,REF: EXP202500135-P2 - PARTIEL 2/5,138.49,,Paiement partiel 2 de 5,,135,2025-04-07,export_bancaire_20250406.csv
25,2025-04-15,VIREMENT PARTIE EXP202500135-3,REF: EXP202500135-P3 - PARTIEL 3/5,112.69,,Paiement partiel 3 de 5,,135,2025-04-14,export_bancaire_20250415.csv
26,2025-04-19,TRANSFERT Frais_Bancaires PARTIE 4,REF: EXP202500135-P4 - PARTIEL 4/5,86.51,,Paiement partiel 4 de 5,,135,2025-04-18,export_bancaire_20250419.csv
27,2025-04-21,VIREMENT PARTIEL EXP202500135 5/5,REF: EXP202500135-P5 - PARTIEL 5/5,79.48,,Paiement partiel 5 de 5,,135,2025-04-20,export_bancaire_20250421.csv
28,2024-11-04,CHÈQUE N°400121 PARTIE 1,REF: EXP202400121-P1 - PARTIEL 1/3,3267.62,,Paiement partiel 1 de 3,,121,2024-11-02,export_bancaire_20241104.csv
29,2024-11-11,VIREMENT PARTIE EXP202400121-2,REF: EXP202400121-P2 - PARTIEL 2/3,786.2,,Paiement partiel 2 de 3,,121,2024-11-10,export_bancaire_20241111.csv
30,2024-11-18,CHÈQUE PARTIE EXP202400121 3,REF: EXP202400121-P3 - PARTIEL 3/3,6764.13,,Paiement partiel 3 de 3,,121,2024-11-16,export_bancaire_20241118.csv
31,2024-12-05,VIREMENT PARTIE EXP202400152-1,REF: EXP202400152-P1 - PARTIEL 1/4,558.39,,Paiement partiel 1 de 4,,152,2024-12-06,export_bancaire_20241205.csv
