STATEMENT_ID,STATEMENT_DATE,OPERATION_LABEL,ADDITIONAL_LABEL,DEBIT,CREDIT,COMMENTS,RELATED_INVOICE_ID,CREATED_AT,SOURCE_FILENAME,FILE_BLOB,MIME_TYPE,RELATED_EXPENSE_ID,VALUE_DATE,MATCH_TYPE,GROUPED_INVOICE_IDS,ACTUAL_INVOICE_ID,INVOICE_ID,INVOICE_DATE,CLIENT_ID,CLIENT_TYPE,TOTAL_HT,MONTANT_TVA,AMOUNT_TTC,RAS_5P,RAS_TVA,AMOUNT_TO_PAY,PU,QUANTITY,ELECTRONIC_DATE,PHYSICAL_DATE,EXPECTED_PAYMENT_DATE,LABEL,PO,INVOICE_YEAR,STATUS,PAYMENT_DATE,INVOICE_NUMBER,merge_source,libele
3903,2024-05-06,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,32508.4,"Paiement groupé factures: FAC-2024-33334, FAC-2025-05190, FAC-2025-40200",6396.0,2025-07-28 15:45:43.203615,releve_202405.csv,,text/csv,,2024-05-06,GROUPED,"6396,6398,6399",,6396.0,2024-02-10,93.0,PRIVE,8938.05,1787.61,10725.66,0.0,0.0,10725.66,595.87,15.0,2024-02-11,,2024-05-06,Licence logicielle,PO-17323-sm,2024.0,PAID,2024-05-06,FAC-2024-33334,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3904,2024-07-15,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,30136.76,"Paiement groupé factures: FAC-2024-68739, FAC-2024-63886, FAC-2023-37629",6404.0,2025-07-28 15:45:43.203615,releve_202407.csv,,text/csv,,2024-07-15,GROUPED,"6404,6405,6407",,6404.0,2024-06-06,3.0,PRIVE,2114.12,422.82,2536.94,0.0,0.0,2536.94,528.53,4.0,2024-06-07,2024-06-07,2024-07-16,Hébergement cloud,PO-96722-hf,2024.0,PAID,2024-07-10,FAC-2024-68739,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3905,2024-10-12,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,20390.61,"Paiement groupé factures: FAC-2024-51923, FAC-2024-28026, FAC-2024-71732",6408.0,2025-07-28 15:45:43.203615,releve_202410.csv,,text/csv,,2024-10-12,GROUPED,"6408,6410,6411",,6408.0,2024-09-22,35.0,PUBLIC,14445.76,2889.15,17334.91,722.29,2166.86,14445.76,902.86,16.0,2024-09-22,2024-09-23,2024-10-22,Hébergement cloud,PO-95032-Nb,2024.0,PAID,2024-10-12,FAC-2024-51923,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3906,2024-09-09,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,59306.8,"Paiement groupé factures: FAC-2024-12223, FAC-2025-95449, FAC-2024-03139",6413.0,2025-07-28 15:45:43.203615,releve_202409.csv,,text/csv,,2024-09-09,GROUPED,"6413,6414,6418",,6413.0,2024-06-22,35.0,PUBLIC,3123.54,624.71,3748.25,156.18,468.53,3123.54,1041.18,3.0,2024-06-24,2024-06-24,2024-08-26,Hébergement cloud,PO-90688-No,2024.0,PAID,2024-09-08,FAC-2024-12223,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3907,2024-01-28,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,49190.85,"Paiement groupé factures: FAC-2023-07635, FAC-2024-64712, FAC-2023-46793",6420.0,2025-07-28 15:45:43.203615,releve_202401.csv,,text/csv,,2024-01-28,GROUPED,"6420,6421,6422",,6420.0,2023-11-17,79.0,PUBLIC,15451.18,3090.24,18541.42,772.56,2317.68,15451.18,813.22,19.0,2023-11-19,2023-11-18,2024-01-28,Licence logicielle,PO-30983-nT,2023.0,PAID,2024-01-27,FAC-2023-07635,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3908,2025-07-05,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,21760.61,"Paiement groupé factures: FAC-2025-95660, FAC-2025-48739, FAC-2023-05225",6425.0,2025-07-28 15:45:43.203615,releve_202507.csv,,text/csv,,2025-07-05,GROUPED,"6425,6430,6432",,6425.0,2025-04-28,4.0,PRIVE,5042.18,1008.44,6050.62,0.0,0.0,6050.62,458.38,11.0,2025-04-29,2025-04-29,2025-06-24,Consulting IT,PO-59696-nk,2025.0,PAID,2025-07-02,FAC-2025-95660,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3909,2024-07-18,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,19775.53,"Paiement groupé factures: FAC-2024-40190, FAC-2023-64944, FAC-2024-50367",6441.0,2025-07-28 15:45:43.203615,releve_202407.csv,,text/csv,,2024-07-18,GROUPED,"6441,6443,6449",,6441.0,2024-05-03,78.0,PUBLIC,432.81,86.56,519.37,21.64,64.92,432.81,144.27,3.0,2024-05-04,,2024-07-08,Maintenance SaaS,PO-82798-aE,2024.0,PAID,2024-07-17,FAC-2024-40190,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3910,2025-05-17,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,3416.64,"Paiement groupé factures: FAC-2025-89774, FAC-2024-87806, FAC-2023-63611",6450.0,2025-07-28 15:45:43.203615,releve_202505.csv,,text/csv,,2025-05-17,GROUPED,"6450,6451,6456",,6450.0,2025-03-28,14.0,PRIVE,196.72,39.34,236.06,0.0,0.0,236.06,196.72,1.0,2025-03-28,2025-04-02,2025-05-25,Hébergement cloud,PO-91203-fD,2025.0,PAID,2025-05-15,FAC-2025-89774,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3911,2025-01-10,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,61164.58,"Paiement groupé factures: FAC-2024-31934, FAC-2025-74244, FAC-2024-38639",6460.0,2025-07-28 15:45:43.203615,releve_202501.csv,,text/csv,,2025-01-10,GROUPED,"6460,6466,6468",,6460.0,2024-10-31,78.0,PUBLIC,3354.06,670.81,4024.87,167.7,503.11,3354.06,1677.03,2.0,2024-10-31,2024-11-03,2024-12-26,Développement logiciel,PO-01023-ZQ,2024.0,PAID,2025-01-07,FAC-2024-31934,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3912,2023-11-14,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,33021.600000000006,"Paiement groupé factures: FAC-2023-95282, FAC-2023-77649, FAC-2024-07180",6469.0,2025-07-28 15:45:43.203615,releve_202311.csv,,text/csv,,2023-11-14,GROUPED,"6469,6471,6474",,6469.0,2023-10-19,90.0,PRIVE,12850.64,2570.13,15420.77,0.0,0.0,15420.77,1606.33,8.0,2023-10-21,2023-10-24,2023-11-22,Formation technique,PO-22601-dc,2023.0,PAID,2023-11-10,FAC-2023-95282,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3913,2025-05-03,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,20473.870000000003,"Paiement groupé factures: FAC-2025-56519, FAC-2024-41780, FAC-2025-17573",6475.0,2025-07-28 15:45:43.203615,releve_202505.csv,,text/csv,,2025-05-03,GROUPED,"6475,6479,6481",,6475.0,2025-02-09,44.0,PUBLIC,6932.1,1386.42,8318.52,346.61,1039.82,6932.09,990.3,7.0,2025-02-09,2025-02-12,2025-05-02,Consulting IT,PO-87950-OH,2025.0,PAID,2025-04-29,FAC-2025-56519,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3914,2025-05-31,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,31487.93,"Paiement groupé factures: FAC-2025-66417, FAC-2024-46498, FAC-2023-47875",6486.0,2025-07-28 15:45:43.203615,releve_202505.csv,,text/csv,,2025-05-31,GROUPED,"6486,6489,6492",,6486.0,2025-04-14,83.0,PRIVE,19795.5,3959.1,23754.6,0.0,0.0,23754.6,1319.7,15.0,2025-04-15,,2025-05-27,Développement logiciel,PO-87675-Av,2025.0,PAID,2025-05-30,FAC-2025-66417,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3915,2025-01-16,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,21022.26,"Paiement groupé factures: FAC-2024-61856, FAC-2024-27569, FAC-2023-53045",6499.0,2025-07-28 15:45:43.203615,releve_202501.csv,,text/csv,,2025-01-16,GROUPED,"6499,6501,6502",,6499.0,2024-11-23,82.0,PUBLIC,1331.8,266.36,1598.16,66.59,199.77,1331.8,133.18,10.0,2024-11-24,2024-11-25,2025-01-15,Licence logicielle,PO-56250-KX,2024.0,PAID,2025-01-12,FAC-2024-61856,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3916,2024-03-08,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,43616.11,"Paiement groupé factures: FAC-2024-78221, FAC-2024-08868, FAC-2024-53712",6505.0,2025-07-28 15:45:43.203615,releve_202403.csv,,text/csv,,2024-03-08,GROUPED,"6505,6506,6508",,6505.0,2024-01-06,24.0,PUBLIC,23797.06,4759.41,28556.47,1189.85,3569.56,23797.06,1699.79,14.0,2024-01-08,2024-01-09,2024-02-24,Développement logiciel,PO-26482-wx,2024.0,PAID,2024-03-06,FAC-2024-78221,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3917,2025-04-09,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,54324.530000000006,"Paiement groupé factures: FAC-2025-29384, FAC-2024-82024, FAC-2024-77676",6509.0,2025-07-28 15:45:43.203615,releve_202504.csv,,text/csv,,2025-04-09,GROUPED,"6509,6510,6515",,6509.0,2025-03-03,96.0,PRIVE,17004.0,3400.8,20404.8,0.0,0.0,20404.8,1417.0,12.0,2025-03-03,2025-03-08,2025-04-20,Consulting IT,PO-44407-iQ,2025.0,PAID,2025-04-07,FAC-2025-29384,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3918,2025-06-27,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,11840.12,"Paiement groupé factures: FAC-2025-15932, FAC-2024-38731, FAC-2023-43930",6522.0,2025-07-28 15:45:43.203615,releve_202506.csv,,text/csv,,2025-06-27,GROUPED,"6522,6524,6525",,6522.0,2025-05-15,61.0,PRIVE,1757.63,351.53,2109.16,0.0,0.0,2109.16,103.39,17.0,2025-05-17,2025-05-17,2025-06-20,Consulting IT,PO-31190-IZ,2025.0,PAID,2025-06-25,FAC-2025-15932,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3919,2024-01-22,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,41432.91,"Paiement groupé factures: FAC-2023-80401, FAC-2023-63727, FAC-2024-81823",6527.0,2025-07-28 15:45:43.203615,releve_202401.csv,,text/csv,,2024-01-22,GROUPED,"6527,6528,6530",,6527.0,2023-12-19,96.0,PRIVE,3780.91,756.18,4537.09,0.0,0.0,4537.09,540.13,7.0,2023-12-19,2023-12-21,2024-01-27,Formation technique,PO-52199-Cy,2023.0,PAID,2024-01-21,FAC-2023-80401,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3920,2025-08-11,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,42745.9,"Paiement groupé factures: FAC-2025-52851, FAC-2023-74292, FAC-2025-35898",6532.0,2025-07-28 15:45:43.203615,releve_202508.csv,,text/csv,,2025-08-11,GROUPED,"6532,6533,6534",,6532.0,2025-06-18,17.0,PRIVE,20846.25,4169.25,25015.5,0.0,0.0,25015.5,1389.75,15.0,2025-06-19,,2025-08-03,Consulting IT,PO-28018-wo,2025.0,PAID,2025-08-10,FAC-2025-52851,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3921,2025-05-01,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,58214.41,"Paiement groupé factures: FAC-2025-66719, FAC-2025-17730, FAC-2025-55907",6537.0,2025-07-28 15:45:43.203615,releve_202505.csv,,text/csv,,2025-05-01,GROUPED,"6537,6539,6546",,6537.0,2025-03-24,71.0,PRIVE,31767.68,6353.54,38121.22,0.0,0.0,38121.22,1985.48,16.0,2025-03-25,2025-03-26,2025-05-09,Maintenance SaaS,PO-65816-Hv,2025.0,PAID,2025-04-30,FAC-2025-66719,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3922,2025-06-07,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,34678.87,"Paiement groupé factures: FAC-2025-73984, FAC-2023-79538, FAC-2024-72066",6548.0,2025-07-28 15:45:43.203615,releve_202506.csv,,text/csv,,2025-06-07,GROUPED,"6548,6550,6552",,6548.0,2025-03-25,34.0,PUBLIC,14864.58,2972.92,17837.5,743.23,2229.69,14864.58,825.81,18.0,2025-03-26,2025-03-28,2025-06-14,Formation technique,PO-83082-ZZ,2025.0,PAID,2025-06-07,FAC-2025-73984,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
3923,2025-06-17,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,17489.45,"Paiement groupé factures: FAC-2025-01830, FAC-2024-40685, FAC-2024-54613",6553.0,2025-07-28 15:45:43.203615,releve_202506.csv,,text/csv,,2025-06-17,GROUPED,"6553,6555,6558",,6553.0,2025-03-12,8.0,PUBLIC,5148.0,1029.6,6177.6,257.4,772.2,5148.0,257.4,20.0,2025-03-13,2025-03-15,2025-06-07,Développement logiciel,PO-13258-Pg,2025.0,PAID,2025-06-12,FAC-2025-01830,bank_statements_grouped.csv + invoices_grouped_payments.csv,1
