INVOICE_ID,INVOICE_DATE,CLIENT_ID,CLIENT_TYPE,TOTAL_HT,MONTANT_TVA,AMOUNT_TTC,RAS_5P,RAS_TVA,AMOUNT_TO_PAY,PU,QUANTITY,ELECTRONIC_DATE,PHYSICAL_DATE,EXPECTED_PAYMENT_DATE,LABEL,PO,INVOICE_YEAR,STATUS,PAYMENT_DATE,INVOICE_NUMBER
1,2023-08-03,34,PUBLIC,1545.44,309.09,1854.53,77.27,231.82,1545.44,386.36,4,2023-08-05,,2023-10-16,Consulting IT,PO-43580-Lo,2023,PAID,2023-10-09,FAC-2023-90025
3,2024-05-28,4,PRIVE,3560.82,712.16,4272.98,0.0,0.0,4272.98,209.46,17,2024-05-30,2024-05-31,2024-07-23,Licence logicielle,PO-30221-Af,2024,PAID,2024-08-02,FAC-2024-86851
4,2025-02-01,71,PRIVE,4655.43,931.09,5586.52,0.0,0.0,5586.52,1551.81,3,2025-02-02,2025-02-03,2025-03-16,Licence logicielle,PO-99837-Cd,2025,PAID,2025-03-04,FAC-2025-66587
5,2025-06-09,30,PRIVE,4835.6,967.12,5802.72,0.0,0.0,5802.72,345.4,14,2025-06-10,,2025-07-25,Hébergement cloud,PO-96974-BT,2025,PAID,2025-07-13,FAC-2025-63894
6,2024-07-21,36,PUBLIC,23421.15,4684.23,28105.38,1171.06,3513.17,23421.15,1561.41,15,2024-07-21,2024-07-26,2024-10-09,Maintenance SaaS,PO-19881-jC,2024,PAID,2024-10-23,FAC-2024-17185
8,2025-07-01,87,PRIVE,9437.2,1887.44,11324.64,0.0,0.0,11324.64,1179.65,8,2025-07-01,2025-07-03,2025-08-13,Licence logicielle,PO-02678-BZ,2025,PAID,2025-07-29,FAC-2025-57981
10,2024-08-28,45,PRIVE,9322.1,1864.42,11186.52,0.0,0.0,11186.52,1864.42,5,2024-08-29,2024-08-29,2024-11-12,Formation technique,PO-81155-Lf,2024,PAID,2024-11-17,FAC-2024-27465
12,2024-06-29,28,PRIVE,18697.92,3739.58,22437.5,0.0,0.0,22437.5,1168.62,16,2024-07-01,,2024-08-09,Développement logiciel,PO-86664-zM,2024,PAID,2024-08-06,FAC-2024-42709
13,2024-11-20,94,PUBLIC,1468.15,293.63,1761.78,73.41,220.22,1468.15,293.63,5,2024-11-22,,2025-02-15,Licence logicielle,PO-19397-Gv,2024,PAID,2025-02-14,FAC-2024-56284
16,2023-09-27,30,PRIVE,3442.5,688.5,4131.0,0.0,0.0,4131.0,191.25,18,2023-09-29,2023-10-02,2023-12-17,Maintenance SaaS,PO-26315-Ia,2023,PAID,2023-12-21,FAC-2023-27411
17,2023-09-13,65,PUBLIC,375.64,75.13,450.77,18.78,56.35,375.64,375.64,1,2023-09-15,2023-09-16,2023-11-24,Consulting IT,PO-61827-tV,2023,PAID,2023-12-09,FAC-2023-24871
18,2023-09-22,57,PUBLIC,10337.22,2067.44,12404.66,516.86,1550.58,10337.22,1722.87,6,2023-09-24,2023-09-23,2023-12-15,Consulting IT,PO-84298-Pj,2023,PAID,2023-12-01,FAC-2023-32220
19,2024-04-07,95,PUBLIC,22377.0,4475.4,26852.4,1118.85,3356.55,22377.0,1118.85,20,2024-04-07,,2024-06-05,Maintenance SaaS,PO-51448-Wd,2024,PAID,2024-05-25,FAC-2024-30462
24,2024-06-20,92,PUBLIC,6537.6,1307.52,7845.12,326.88,980.64,6537.6,1089.6,6,2024-06-21,,2024-08-02,Licence logicielle,PO-94406-Ut,2024,PAID,2024-07-27,FAC-2024-23880
34,2024-05-18,71,PRIVE,1950.48,390.1,2340.58,0.0,0.0,2340.58,243.81,8,2024-05-18,2024-05-21,2024-06-19,Formation technique,PO-86284-nf,2024,PAID,2024-07-01,FAC-2024-55971
38,2024-11-04,65,PUBLIC,21853.56,4370.71,26224.27,1092.68,3278.03,21853.56,1821.13,12,2024-11-06,2024-11-08,2024-12-28,Formation technique,PO-32685-xA,2024,PAID,2025-01-03,FAC-2024-33924
39,2024-12-20,79,PUBLIC,34865.57,6973.11,41838.68,1743.28,5229.84,34865.56,1835.03,19,2024-12-21,,2025-03-08,Licence logicielle,PO-80008-Wd,2024,PAID,2025-03-05,FAC-2024-02277
41,2024-10-12,74,PUBLIC,38594.8,7718.96,46313.76,1929.74,5789.22,38594.8,1929.74,20,2024-10-14,,2025-01-03,Maintenance SaaS,PO-15134-JT,2024,PAID,2025-01-18,FAC-2024-26790
42,2024-03-08,25,PUBLIC,7132.79,1426.56,8559.35,356.64,1069.92,7132.79,375.41,19,2024-03-10,2024-03-11,2024-05-07,Licence logicielle,PO-57079-UO,2024,PAID,2024-04-24,FAC-2024-62582
48,2024-05-07,42,PUBLIC,758.88,151.78,910.66,37.94,113.83,758.89,63.24,12,2024-05-09,,2024-06-12,Licence logicielle,PO-19556-sQ,2024,PAID,2024-06-24,FAC-2024-22055
49,2025-04-25,16,PRIVE,16845.02,3369.0,20214.02,0.0,0.0,20214.02,886.58,19,2025-04-26,,2025-07-19,Maintenance SaaS,PO-61706-fh,2025,PAID,2025-07-25,FAC-2025-39836
52,2024-02-25,42,PUBLIC,30290.6,6058.12,36348.72,1514.53,4543.59,30290.6,1781.8,17,2024-02-25,2024-02-26,2024-04-28,Hébergement cloud,PO-81485-Jv,2024,PAID,2024-04-20,FAC-2024-71542
55,2025-02-19,36,PUBLIC,26710.74,5342.15,32052.89,1335.54,4006.61,26710.74,1483.93,18,2025-02-20,2025-02-23,2025-04-16,Maintenance SaaS,PO-92674-Ks,2025,PAID,2025-04-23,FAC-2025-92644
56,2025-04-17,31,PUBLIC,13226.32,2645.26,15871.58,661.32,1983.95,13226.31,1653.29,8,2025-04-19,,2025-05-23,Formation technique,PO-55296-xk,2025,PAID,2025-05-12,FAC-2025-67986
58,2024-09-20,70,PUBLIC,10952.88,2190.58,13143.46,547.64,1642.93,10952.89,1369.11,8,2024-09-22,,2024-12-04,Consulting IT,PO-62285-zc,2024,PAID,2024-12-17,FAC-2024-97393
59,2024-08-12,98,PUBLIC,13543.58,2708.72,16252.3,677.18,2031.54,13543.58,712.82,19,2024-08-14,,2024-10-08,Licence logicielle,PO-16093-Rq,2024,PAID,2024-10-22,FAC-2024-04219
61,2025-02-15,88,PRIVE,19401.12,3880.22,23281.34,0.0,0.0,23281.34,1616.76,12,2025-02-15,,2025-04-28,Formation technique,PO-46033-zn,2025,PAID,2025-04-25,FAC-2025-28025
67,2023-12-24,43,PRIVE,16354.85,3270.97,19625.82,0.0,0.0,19625.82,962.05,17,2023-12-24,2023-12-28,2024-01-28,Hébergement cloud,PO-07256-ZM,2023,PAID,2024-01-20,FAC-2023-60183
72,2025-02-04,26,PUBLIC,1969.24,393.85,2363.09,98.46,295.39,1969.24,151.48,13,2025-02-04,2025-02-05,2025-04-28,Consulting IT,PO-57451-xK,2025,PAID,2025-05-01,FAC-2025-31599
73,2023-11-09,27,PRIVE,7366.32,1473.26,8839.58,0.0,0.0,8839.58,1227.72,6,2023-11-09,,2023-12-29,Développement logiciel,PO-09051-Hp,2023,PAID,2023-12-29,FAC-2023-17677
74,2023-09-12,28,PRIVE,4430.02,886.0,5316.02,0.0,0.0,5316.02,632.86,7,2023-09-13,2023-09-14,2023-11-07,Hébergement cloud,PO-50270-eA,2023,PAID,2023-11-20,FAC-2023-70868
77,2023-11-30,92,PUBLIC,2247.66,449.53,2697.19,112.38,337.15,2247.66,749.22,3,2023-11-30,2023-12-05,2024-02-21,Consulting IT,PO-83692-aH,2023,PAID,2024-03-07,FAC-2023-87237
79,2024-07-24,95,PUBLIC,5820.18,1164.04,6984.22,291.01,873.03,5820.18,970.03,6,2024-07-25,2024-07-27,2024-09-28,Développement logiciel,PO-34733-SN,2024,PAID,2024-10-05,FAC-2024-65560
82,2025-07-27,6,PUBLIC,2921.52,584.3,3505.82,146.08,438.23,2921.51,486.92,6,2025-07-27,,2025-09-09,Consulting IT,PO-64349-li,2025,PAID,2025-09-01,FAC-2025-36350
85,2024-01-18,83,PRIVE,23109.4,4621.88,27731.28,0.0,0.0,27731.28,1155.47,20,2024-01-20,2024-01-22,2024-03-29,Maintenance SaaS,PO-14513-Xv,2024,PAID,2024-04-03,FAC-2024-35228
88,2025-05-27,27,PRIVE,7565.23,1513.05,9078.28,0.0,0.0,9078.28,398.17,19,2025-05-28,2025-05-28,2025-08-08,Hébergement cloud,PO-01269-zt,2025,PAID,2025-08-16,FAC-2025-62328
90,2024-03-15,88,PRIVE,11703.76,2340.75,14044.51,0.0,0.0,14044.51,1462.97,8,2024-03-17,,2024-04-25,Formation technique,PO-60168-DD,2024,PAID,2024-05-01,FAC-2024-35686
95,2025-05-27,61,PRIVE,753.22,150.64,903.86,0.0,0.0,903.86,57.94,13,2025-05-27,,2025-07-10,Licence logicielle,PO-13405-rv,2025,PAID,2025-06-28,FAC-2025-91958
96,2025-07-18,73,PRIVE,18004.58,3600.92,21605.5,0.0,0.0,21605.5,1636.78,11,2025-07-18,,2025-09-27,Consulting IT,PO-60366-Fw,2025,PAID,2025-09-18,FAC-2025-37187
98,2024-07-31,28,PRIVE,8594.81,1718.96,10313.77,0.0,0.0,10313.77,1227.83,7,2024-08-01,2024-08-05,2024-09-24,Formation technique,PO-29987-WY,2024,PAID,2024-09-12,FAC-2024-73377
99,2025-01-17,66,PRIVE,30865.44,6173.09,37038.53,0.0,0.0,37038.53,1929.09,16,2025-01-17,,2025-04-11,Licence logicielle,PO-91442-tp,2025,PAID,2025-04-05,FAC-2025-82336
102,2024-04-04,30,PRIVE,11228.77,2245.75,13474.52,0.0,0.0,13474.52,1604.11,7,2024-04-06,2024-04-05,2024-07-02,Hébergement cloud,PO-73802-YY,2024,PAID,2024-07-05,FAC-2024-51683
106,2024-07-21,16,PRIVE,5710.05,1142.01,6852.06,0.0,0.0,6852.06,380.67,15,2024-07-23,,2024-10-05,Consulting IT,PO-69898-hf,2024,PAID,2024-10-05,FAC-2024-59728
112,2023-09-01,91,PRIVE,3736.53,747.31,4483.84,0.0,0.0,4483.84,415.17,9,2023-09-02,2023-09-05,2023-11-01,Licence logicielle,PO-47680-iD,2023,PAID,2023-10-19,FAC-2023-44253
113,2025-01-10,18,PUBLIC,4824.5,964.9,5789.4,241.23,723.68,4824.49,482.45,10,2025-01-11,2025-01-14,2025-04-08,Hébergement cloud,PO-50980-WQ,2025,PAID,2025-04-16,FAC-2025-21077
114,2024-12-18,2,PRIVE,31217.28,6243.46,37460.74,0.0,0.0,37460.74,1951.08,16,2024-12-18,,2025-02-09,Hébergement cloud,PO-59328-Ot,2024,PAID,2025-02-23,FAC-2024-70814
117,2024-07-16,33,PRIVE,17382.33,3476.47,20858.8,0.0,0.0,20858.8,1022.49,17,2024-07-18,,2024-09-28,Hébergement cloud,PO-09334-Gx,2024,PAID,2024-09-26,FAC-2024-95430
122,2024-02-09,54,PRIVE,11911.1,2382.22,14293.32,0.0,0.0,14293.32,626.9,19,2024-02-11,2024-02-14,2024-04-03,Hébergement cloud,PO-08030-On,2024,PAID,2024-04-04,FAC-2024-19242
124,2023-09-06,81,PUBLIC,3878.1,775.62,4653.72,193.91,581.72,3878.09,775.62,5,2023-09-06,2023-09-11,2023-11-03,Hébergement cloud,PO-28594-ZH,2023,PAID,2023-11-01,FAC-2023-19690
127,2024-09-17,11,PUBLIC,212.37,42.47,254.84,10.62,31.86,212.36,70.79,3,2024-09-17,2024-09-20,2024-12-07,Hébergement cloud,PO-48517-jO,2024,PAID,2024-11-24,FAC-2024-25507
129,2024-07-02,5,PRIVE,3283.9,656.78,3940.68,0.0,0.0,3940.68,1641.95,2,2024-07-04,2024-07-05,2024-09-21,Développement logiciel,PO-69314-Ve,2024,PAID,2024-09-19,FAC-2024-08552
131,2024-04-24,37,PRIVE,8225.77,1645.15,9870.92,0.0,0.0,9870.92,1175.11,7,2024-04-24,2024-04-27,2024-06-15,Formation technique,PO-94484-ef,2024,PAID,2024-05-31,FAC-2024-69998
133,2023-11-20,3,PRIVE,2051.0,410.2,2461.2,0.0,0.0,2461.2,146.5,14,2023-11-20,2023-11-22,2024-02-02,Licence logicielle,PO-58718-Fa,2023,PAID,2024-01-18,FAC-2023-91988
136,2024-03-15,64,PUBLIC,6464.43,1292.89,7757.32,323.22,969.66,6464.44,923.49,7,2024-03-15,2024-03-17,2024-04-14,Consulting IT,PO-36223-Aq,2024,PAID,2024-04-20,FAC-2024-48786
138,2024-11-15,5,PRIVE,7873.71,1574.74,9448.45,0.0,0.0,9448.45,605.67,13,2024-11-15,2024-11-19,2025-02-08,Consulting IT,PO-28732-EP,2024,PAID,2025-02-06,FAC-2024-51618
140,2024-07-22,69,PRIVE,11290.68,2258.14,13548.82,0.0,0.0,13548.82,1254.52,9,2024-07-22,2024-07-23,2024-08-21,Maintenance SaaS,PO-60983-qv,2024,PAID,2024-08-07,FAC-2024-14808
144,2024-04-19,39,PUBLIC,994.5,198.9,1193.4,49.73,149.18,994.49,66.3,15,2024-04-21,2024-04-22,2024-06-23,Formation technique,PO-52444-ZV,2024,PAID,2024-06-28,FAC-2024-33426
147,2025-02-05,54,PRIVE,38697.0,7739.4,46436.4,0.0,0.0,46436.4,1934.85,20,2025-02-06,2025-02-06,2025-04-23,Hébergement cloud,PO-35140-yQ,2025,PAID,2025-04-19,FAC-2025-99995
148,2024-03-20,18,PUBLIC,348.85,69.77,418.62,17.44,52.33,348.85,69.77,5,2024-03-22,2024-03-23,2024-06-05,Hébergement cloud,PO-55557-vb,2024,PAID,2024-05-25,FAC-2024-30532
149,2024-11-16,6,PUBLIC,25838.54,5167.71,31006.25,1291.93,3875.78,25838.54,1845.61,14,2024-11-17,2024-11-18,2024-12-30,Maintenance SaaS,PO-76031-Bp,2024,PAID,2024-12-30,FAC-2024-84313
152,2024-01-13,16,PRIVE,21038.81,4207.76,25246.57,0.0,0.0,25246.57,1618.37,13,2024-01-15,,2024-03-07,Licence logicielle,PO-96909-cc,2024,PAID,2024-02-27,FAC-2024-62374
153,2023-10-12,88,PRIVE,10601.6,2120.32,12721.92,0.0,0.0,12721.92,530.08,20,2023-10-13,2023-10-16,2024-01-10,Consulting IT,PO-08163-jv,2023,PAID,2024-01-08,FAC-2023-83038
154,2024-12-18,65,PUBLIC,2984.43,596.89,3581.32,149.22,447.66,2984.44,994.81,3,2024-12-19,,2025-02-02,Hébergement cloud,PO-04737-Il,2024,PAID,2025-01-30,FAC-2024-61878
160,2023-08-14,98,PUBLIC,7954.02,1590.8,9544.82,397.7,1193.1,7954.02,883.78,9,2023-08-15,2023-08-19,2023-11-10,Hébergement cloud,PO-71453-DW,2023,PAID,2023-10-31,FAC-2023-27948
162,2024-11-08,76,PUBLIC,17265.9,3453.18,20719.08,863.3,2589.89,17265.89,1151.06,15,2024-11-08,2024-11-11,2025-01-22,Consulting IT,PO-99275-hZ,2024,PAID,2025-01-30,FAC-2024-21750
164,2023-09-15,11,PUBLIC,38741.2,7748.24,46489.44,1937.06,5811.18,38741.2,1937.06,20,2023-09-15,2023-09-16,2023-11-07,Licence logicielle,PO-05492-IN,2023,PAID,2023-11-06,FAC-2023-42874
165,2024-07-02,26,PUBLIC,17777.76,3555.55,21333.31,888.89,2666.66,17777.76,1481.48,12,2024-07-02,,2024-08-20,Maintenance SaaS,PO-67145-AW,2024,PAID,2024-08-17,FAC-2024-38934
172,2025-05-09,53,PUBLIC,15685.26,3137.05,18822.31,784.26,2352.79,15685.26,825.54,19,2025-05-10,2025-05-10,2025-08-06,Formation technique,PO-65661-eO,2025,PAID,2025-07-29,FAC-2025-03086
173,2024-06-15,24,PUBLIC,5105.64,1021.13,6126.77,255.28,765.85,5105.64,425.47,12,2024-06-16,2024-06-17,2024-08-25,Licence logicielle,PO-12899-Gv,2024,PAID,2024-08-11,FAC-2024-88007
177,2023-10-17,74,PUBLIC,7068.04,1413.61,8481.65,353.4,1060.21,7068.04,1767.01,4,2023-10-17,,2023-12-14,Licence logicielle,PO-43957-iw,2023,PAID,2023-12-24,FAC-2023-02806
180,2025-01-28,35,PUBLIC,21476.8,4295.36,25772.16,1073.84,3221.52,21476.8,1342.3,16,2025-01-29,,2025-03-17,Formation technique,PO-08501-an,2025,PAID,2025-03-13,FAC-2025-48746
181,2024-12-16,28,PRIVE,10376.76,2075.35,12452.11,0.0,0.0,12452.11,864.73,12,2024-12-17,,2025-03-10,Licence logicielle,PO-06765-Fh,2024,PAID,2025-03-12,FAC-2024-60069
187,2024-01-30,34,PUBLIC,12508.47,2501.69,15010.16,625.42,1876.27,12508.47,962.19,13,2024-01-30,2024-02-01,2024-03-06,Consulting IT,PO-89784-Gl,2024,PAID,2024-02-25,FAC-2024-42319
190,2024-11-01,54,PRIVE,204.98,41.0,245.98,0.0,0.0,245.98,102.49,2,2024-11-03,2024-11-02,2024-12-15,Formation technique,PO-75068-ec,2024,PAID,2024-12-27,FAC-2024-66589
191,2024-08-04,45,PRIVE,10077.6,2015.52,12093.12,0.0,0.0,12093.12,839.8,12,2024-08-04,2024-08-06,2024-09-06,Hébergement cloud,PO-53038-Pj,2024,PAID,2024-09-14,FAC-2024-38630
192,2025-05-04,99,PUBLIC,15318.29,3063.66,18381.95,765.91,2297.74,15318.3,1178.33,13,2025-05-06,,2025-06-04,Maintenance SaaS,PO-77930-aF,2025,PAID,2025-06-12,FAC-2025-43720
193,2025-03-26,77,PUBLIC,30090.85,6018.17,36109.02,1504.54,4513.63,30090.85,1770.05,17,2025-03-26,2025-03-29,2025-05-23,Développement logiciel,PO-46984-OJ,2025,PAID,2025-05-20,FAC-2025-98213
198,2025-06-05,47,PRIVE,734.2,146.84,881.04,0.0,0.0,881.04,183.55,4,2025-06-07,2025-06-08,2025-07-10,Hébergement cloud,PO-92237-oD,2025,PAID,2025-06-28,FAC-2025-68496
201,2025-07-24,39,PUBLIC,5420.66,1084.13,6504.79,271.03,813.1,5420.66,387.19,14,2025-07-25,,2025-10-12,Hébergement cloud,PO-39855-QS,2025,PAID,2025-10-15,FAC-2025-68738
