STATEMENT_ID,STATEMENT_DATE,OPERATION_LABEL,ADDITIONAL_LABEL,DEBIT,CREDIT,COMMENTS,RELATED_INVOICE_ID,CREATED_AT,SOURCE_FILENAME,FILE_BLOB,MIME_TYPE,RELATED_EXPENSE_ID,VALUE_DATE,MATCH_TYPE,GROUPED_INVOICE_IDS,ACTUAL_INVOICE_ID
3903,2024-05-06,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,32508.4,"Paiement groupé factures: FAC-2024-33334, FAC-2025-05190, FAC-2025-40200",6396.0,2025-07-28 15:45:43.203615,releve_202405.csv,,text/csv,,2024-05-06,GROUPED,"6396,6398,6399",
3904,2024-07-15,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,30136.76,"Paiement groupé factures: FAC-2024-68739, FAC-2024-63886, FAC-2023-37629",6404.0,2025-07-28 15:45:43.203615,releve_202407.csv,,text/csv,,2024-07-15,GROUPED,"6404,6405,6407",
3905,2024-10-12,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,20390.61,"Paiement groupé factures: FAC-2024-51923, FAC-2024-28026, FAC-2024-71732",6408.0,2025-07-28 15:45:43.203615,releve_202410.csv,,text/csv,,2024-10-12,GROUPED,"6408,6410,6411",
3906,2024-09-09,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,59306.8,"Paiement groupé factures: FAC-2024-12223, FAC-2025-95449, FAC-2024-03139",6413.0,2025-07-28 15:45:43.203615,releve_202409.csv,,text/csv,,2024-09-09,GROUPED,"6413,6414,6418",
3907,2024-01-28,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,49190.85,"Paiement groupé factures: FAC-2023-07635, FAC-2024-64712, FAC-2023-46793",6420.0,2025-07-28 15:45:43.203615,releve_202401.csv,,text/csv,,2024-01-28,GROUPED,"6420,6421,6422",
3908,2025-07-05,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,21760.61,"Paiement groupé factures: FAC-2025-95660, FAC-2025-48739, FAC-2023-05225",6425.0,2025-07-28 15:45:43.203615,releve_202507.csv,,text/csv,,2025-07-05,GROUPED,"6425,6430,6432",
3909,2024-07-18,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,19775.53,"Paiement groupé factures: FAC-2024-40190, FAC-2023-64944, FAC-2024-50367",6441.0,2025-07-28 15:45:43.203615,releve_202407.csv,,text/csv,,2024-07-18,GROUPED,"6441,6443,6449",
3910,2025-05-17,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,3416.64,"Paiement groupé factures: FAC-2025-89774, FAC-2024-87806, FAC-2023-63611",6450.0,2025-07-28 15:45:43.203615,releve_202505.csv,,text/csv,,2025-05-17,GROUPED,"6450,6451,6456",
3911,2025-01-10,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,61164.58,"Paiement groupé factures: FAC-2024-31934, FAC-2025-74244, FAC-2024-38639",6460.0,2025-07-28 15:45:43.203615,releve_202501.csv,,text/csv,,2025-01-10,GROUPED,"6460,6466,6468",
3912,2023-11-14,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,33021.600000000006,"Paiement groupé factures: FAC-2023-95282, FAC-2023-77649, FAC-2024-07180",6469.0,2025-07-28 15:45:43.203615,releve_202311.csv,,text/csv,,2023-11-14,GROUPED,"6469,6471,6474",
3913,2025-05-03,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,20473.870000000003,"Paiement groupé factures: FAC-2025-56519, FAC-2024-41780, FAC-2025-17573",6475.0,2025-07-28 15:45:43.203615,releve_202505.csv,,text/csv,,2025-05-03,GROUPED,"6475,6479,6481",
3914,2025-05-31,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,31487.929999999997,"Paiement groupé factures: FAC-2025-66417, FAC-2024-46498, FAC-2023-47875",6486.0,2025-07-28 15:45:43.203615,releve_202505.csv,,text/csv,,2025-05-31,GROUPED,"6486,6489,6492",
3915,2025-01-16,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,21022.260000000002,"Paiement groupé factures: FAC-2024-61856, FAC-2024-27569, FAC-2023-53045",6499.0,2025-07-28 15:45:43.203615,releve_202501.csv,,text/csv,,2025-01-16,GROUPED,"6499,6501,6502",
3916,2024-03-08,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,43616.11,"Paiement groupé factures: FAC-2024-78221, FAC-2024-08868, FAC-2024-53712",6505.0,2025-07-28 15:45:43.203615,releve_202403.csv,,text/csv,,2024-03-08,GROUPED,"6505,6506,6508",
3917,2025-04-09,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,54324.530000000006,"Paiement groupé factures: FAC-2025-29384, FAC-2024-82024, FAC-2024-77676",6509.0,2025-07-28 15:45:43.203615,releve_202504.csv,,text/csv,,2025-04-09,GROUPED,"6509,6510,6515",
3918,2025-06-27,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,11840.12,"Paiement groupé factures: FAC-2025-15932, FAC-2024-38731, FAC-2023-43930",6522.0,2025-07-28 15:45:43.203615,releve_202506.csv,,text/csv,,2025-06-27,GROUPED,"6522,6524,6525",
3919,2024-01-22,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,41432.909999999996,"Paiement groupé factures: FAC-2023-80401, FAC-2023-63727, FAC-2024-81823",6527.0,2025-07-28 15:45:43.203615,releve_202401.csv,,text/csv,,2024-01-22,GROUPED,"6527,6528,6530",
3920,2025-08-11,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,42745.9,"Paiement groupé factures: FAC-2025-52851, FAC-2023-74292, FAC-2025-35898",6532.0,2025-07-28 15:45:43.203615,releve_202508.csv,,text/csv,,2025-08-11,GROUPED,"6532,6533,6534",
3921,2025-05-01,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,58214.409999999996,"Paiement groupé factures: FAC-2025-66719, FAC-2025-17730, FAC-2025-55907",6537.0,2025-07-28 15:45:43.203615,releve_202505.csv,,text/csv,,2025-05-01,GROUPED,"6537,6539,6546",
3922,2025-06-07,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,34678.87,"Paiement groupé factures: FAC-2025-73984, FAC-2023-79538, FAC-2024-72066",6548.0,2025-07-28 15:45:43.203615,releve_202506.csv,,text/csv,,2025-06-07,GROUPED,"6548,6550,6552",
3923,2025-06-17,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,17489.45,"Paiement groupé factures: FAC-2025-01830, FAC-2024-40685, FAC-2024-54613",6553.0,2025-07-28 15:45:43.203615,releve_202506.csv,,text/csv,,2025-06-17,GROUPED,"6553,6555,6558",
3924,2024-11-10,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,12377.529999999999,"Paiement groupé factures: FAC-2024-87360, FAC-2024-32866, FAC-2024-43776",6559.0,2025-07-28 15:45:43.203615,releve_202411.csv,,text/csv,,2024-11-10,GROUPED,"6559,6562,6563",
3925,2025-05-04,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,35515.15,"Paiement groupé factures: FAC-2025-94414, FAC-2024-48598, FAC-2025-60849",6565.0,2025-07-28 15:45:43.203615,releve_202505.csv,,text/csv,,2025-05-04,GROUPED,"6565,6567,6573",
3926,2024-06-23,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,37345.840000000004,"Paiement groupé factures: FAC-2024-26415, FAC-2024-94023, FAC-2024-44929",6576.0,2025-07-28 15:45:43.203615,releve_202406.csv,,text/csv,,2024-06-23,GROUPED,"6576,6578,6579",
3927,2025-03-06,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,6985.099999999999,"Paiement groupé factures: FAC-2025-93630, FAC-2024-70158, FAC-2024-21672",6580.0,2025-07-28 15:45:43.203615,releve_202503.csv,,text/csv,,2025-03-06,GROUPED,"6580,6582,6583",
3928,2023-11-08,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,17595.43,"Paiement groupé factures: FAC-2023-16477, FAC-2023-81857, FAC-2024-35895",6587.0,2025-07-28 15:45:43.203615,releve_202311.csv,,text/csv,,2023-11-08,GROUPED,"6587,6588,6589",
3929,2024-10-16,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,42926.869999999995,"Paiement groupé factures: FAC-2024-92915, FAC-2024-30761, FAC-2023-27426",6593.0,2025-07-28 15:45:43.203615,releve_202410.csv,,text/csv,,2024-10-16,GROUPED,"6593,6598,6601",
3930,2023-12-17,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,29516.48,"Paiement groupé factures: FAC-2023-67401, FAC-2025-72032, FAC-2024-94112",6603.0,2025-07-28 15:45:43.215529,releve_202312.csv,,text/csv,,2023-12-17,GROUPED,"6603,6606,6609",
3931,2024-03-16,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,6284.26,"Paiement groupé factures: FAC-2024-62195, FAC-2023-98410, FAC-2024-29236",6611.0,2025-07-28 15:45:43.215529,releve_202403.csv,,text/csv,,2024-03-16,GROUPED,"6611,6612,6613",
3932,2025-07-25,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,69300.95,"Paiement groupé factures: FAC-2025-66152, FAC-2023-26500, FAC-2024-49294",6615.0,2025-07-28 15:45:43.215529,releve_202507.csv,,text/csv,,2025-07-25,GROUPED,"6615,6616,6617",
3933,2024-04-22,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,48558.65,"Paiement groupé factures: FAC-2024-43213, FAC-2023-11490, FAC-2025-92390",6622.0,2025-07-28 15:45:43.216067,releve_202404.csv,,text/csv,,2024-04-22,GROUPED,"6622,6623,6625",
3934,2024-09-09,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,25728.03,"Paiement groupé factures: FAC-2024-30148, FAC-2025-49893, FAC-2023-38494",6626.0,2025-07-28 15:45:43.216067,releve_202409.csv,,text/csv,,2024-09-09,GROUPED,"6626,6627,6631",
3935,2025-04-14,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,17463.390000000003,"Paiement groupé factures: FAC-2025-86822, FAC-2024-32316, FAC-2024-19982",6632.0,2025-07-28 15:45:43.216067,releve_202504.csv,,text/csv,,2025-04-14,GROUPED,"6632,6634,6636",
3936,2025-10-08,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,53088.07,"Paiement groupé factures: FAC-2025-80087, FAC-2023-51950, FAC-2025-54409",6638.0,2025-07-28 15:45:43.216604,releve_202510.csv,,text/csv,,2025-10-08,GROUPED,"6638,6639,6640",
3937,2024-06-01,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,24398.32,"Paiement groupé factures: FAC-2024-56806, FAC-2024-37827, FAC-2025-59460",6642.0,2025-07-28 15:45:43.216604,releve_202406.csv,,text/csv,,2024-06-01,GROUPED,"6642,6644,6645",
3938,2025-03-22,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,26179.53,"Paiement groupé factures: FAC-2025-87552, FAC-2024-13156, FAC-2025-78671",6647.0,2025-07-28 15:45:43.216604,releve_202503.csv,,text/csv,,2025-03-22,GROUPED,"6647,6648,6651",
3939,2024-04-19,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,66911.35,"Paiement groupé factures: FAC-2024-85790, FAC-2023-86954, FAC-2024-86998",6652.0,2025-07-28 15:45:43.217133,releve_202404.csv,,text/csv,,2024-04-19,GROUPED,"6652,6654,6655",
3940,2024-07-22,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,63587.450000000004,"Paiement groupé factures: FAC-2024-19804, FAC-2024-80708, FAC-2023-97112",6656.0,2025-07-28 15:45:43.217133,releve_202407.csv,,text/csv,,2024-07-22,GROUPED,"6656,6660,6663",
3941,2024-03-12,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,33083.950000000004,"Paiement groupé factures: FAC-2024-55570, FAC-2024-39522, FAC-2025-59794",6664.0,2025-07-28 15:45:43.217133,releve_202403.csv,,text/csv,,2024-03-12,GROUPED,"6664,6668,6669",
3942,2025-05-25,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,16769.05,"Paiement groupé factures: FAC-2025-06943, FAC-2023-80732, FAC-2025-99591",6670.0,2025-07-28 15:45:43.217670,releve_202505.csv,,text/csv,,2025-05-25,GROUPED,"6670,6671,6673",
3943,2025-03-02,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,51411.39,"Paiement groupé factures: FAC-2024-52318, FAC-2024-90565, FAC-2023-46910",6674.0,2025-07-28 15:45:43.217670,releve_202503.csv,,text/csv,,2025-03-02,GROUPED,"6674,6677,6681",
3944,2025-06-20,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,25764.750000000004,"Paiement groupé factures: FAC-2025-35054, FAC-2025-93273, FAC-2023-47336",6683.0,2025-07-28 15:45:43.217670,releve_202506.csv,,text/csv,,2025-06-20,GROUPED,"6683,6685,6686",
3945,2023-11-02,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,18069.37,"Paiement groupé factures: FAC-2023-40439, FAC-2024-11950, FAC-2024-69086",6691.0,2025-07-28 15:45:43.218179,releve_202311.csv,,text/csv,,2023-11-02,GROUPED,"6691,6697,6699",
3946,2023-11-28,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,5989.3,"Paiement groupé factures: FAC-2023-06930, FAC-2024-41819, FAC-2023-06600",6708.0,2025-07-28 15:45:43.218179,releve_202311.csv,,text/csv,,2023-11-28,GROUPED,"6708,6713,6716",
3947,2025-06-06,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,36517.97,"Paiement groupé factures: FAC-2025-77185, FAC-2025-87341, FAC-2023-63876",6717.0,2025-07-28 15:45:43.218179,releve_202506.csv,,text/csv,,2025-06-06,GROUPED,"6717,6721,6725",
3948,2024-03-19,VIREMENT RECU,PAIEMENT GROUPE 3 FACTURES,,41300.520000000004,"Paiement groupé factures: FAC-2024-55226, FAC-2025-69185, FAC-2024-59452",6726.0,2025-07-28 15:45:43.218705,releve_202403.csv,,text/csv,,2024-03-19,GROUPED,"6726,6732,6733",
