STATEMENT_ID,STATEMENT_DATE,OPERATION_LABEL,ADDITIONAL_LABEL,DEBIT,CREDIT,COMMENTS,RELATED_INVOICE_ID,CREATED_AT,SOURCE_FILENAME,FILE_BLOB,MIME_TYPE,RELATED_EXPENSE_ID,VALUE_DATE,MATCH_TYPE,GROUPED_INVOICE_IDS,ACTUAL_INVOICE_ID
1960,2025-01-07,VIREMENT RECU,PAIEMENT PARTIEL 1/4 - REF: FAC-2024-00990,,1375.97,Paiement partiel 1 facture FAC-2024-00990,4874.0,2025-07-28 15:45:43.136693,releve_202501.csv,,text/csv,,2025-01-07,PARTIAL,,
1961,2025-01-12,VIREMENT RECU,PAIEMENT PARTIEL 2/4 - REF: FAC-2024-00990,,1375.97,Paiement partiel 2 facture FAC-2024-00990,4874.0,2025-07-28 15:45:43.136693,releve_202501.csv,,text/csv,,2025-01-12,PARTIAL,,
1962,2025-01-10,VIREMENT RECU,PAIEMENT PARTIEL 3/4 - REF: FAC-2024-00990,,1375.96,Paiement partiel 3 facture FAC-2024-00990,4874.0,2025-07-28 15:45:43.136693,releve_202501.csv,,text/csv,,2025-01-10,PARTIAL,,
1963,2025-01-11,VIREMENT RECU,PAIEMENT PARTIEL 4/4 - REF: FAC-2024-00990,,1375.9699999999993,Paiement partiel 4 facture FAC-2024-00990,4874.0,2025-07-28 15:45:43.136693,releve_202501.csv,,text/csv,,2025-01-11,PARTIAL,,
1964,2025-06-13,VIREMENT RECU,PAIEMENT PARTIEL 1/3 - REF: FAC-2025-17154,,3294.2,Paiement partiel 1 facture FAC-2025-17154,4875.0,2025-07-28 15:45:43.136693,releve_202506.csv,,text/csv,,2025-06-13,PARTIAL,,
1965,2025-06-21,VIREMENT RECU,PAIEMENT PARTIEL 2/3 - REF: FAC-2025-17154,,3294.2,Paiement partiel 2 facture FAC-2025-17154,4875.0,2025-07-28 15:45:43.136693,releve_202506.csv,,text/csv,,2025-06-21,PARTIAL,,
1966,2025-06-24,VIREMENT RECU,PAIEMENT PARTIEL 3/3 - REF: FAC-2025-17154,,3294.2000000000007,Paiement partiel 3 facture FAC-2025-17154,4875.0,2025-07-28 15:45:43.136693,releve_202506.csv,,text/csv,,2025-06-24,PARTIAL,,
1967,2025-09-13,VIREMENT RECU,PAIEMENT PARTIEL 1/2 - REF: FAC-2025-73503,,1546.54,Paiement partiel 1 facture FAC-2025-73503,4876.0,2025-07-28 15:45:43.136693,releve_202509.csv,,text/csv,,2025-09-13,PARTIAL,,
1968,2025-09-04,VIREMENT RECU,PAIEMENT PARTIEL 2/2 - REF: FAC-2025-73503,,1546.5300000000002,Paiement partiel 2 facture FAC-2025-73503,4876.0,2025-07-28 15:45:43.136693,releve_202509.csv,,text/csv,,2025-09-04,PARTIAL,,
1969,2025-08-15,VIREMENT RECU,PAIEMENT PARTIEL 1/3 - REF: FAC-2025-39733,,677.6,Paiement partiel 1 facture FAC-2025-39733,4877.0,2025-07-28 15:45:43.136693,releve_202508.csv,,text/csv,,2025-08-15,PARTIAL,,
1970,2025-08-09,VIREMENT RECU,PAIEMENT PARTIEL 2/3 - REF: FAC-2025-39733,,677.6,Paiement partiel 2 facture FAC-2025-39733,4877.0,2025-07-28 15:45:43.136693,releve_202508.csv,,text/csv,,2025-08-09,PARTIAL,,
1971,2025-08-01,VIREMENT RECU,PAIEMENT PARTIEL 3/3 - REF: FAC-2025-39733,,677.5999999999998,Paiement partiel 3 facture FAC-2025-39733,4877.0,2025-07-28 15:45:43.136693,releve_202508.csv,,text/csv,,2025-08-01,PARTIAL,,
1972,2025-03-07,VIREMENT RECU,PAIEMENT PARTIEL 1/4 - REF: FAC-2025-40476,,871.05,Paiement partiel 1 facture FAC-2025-40476,4879.0,2025-07-28 15:45:43.136693,releve_202503.csv,,text/csv,,2025-03-07,PARTIAL,,
1973,2025-03-04,VIREMENT RECU,PAIEMENT PARTIEL 2/4 - REF: FAC-2025-40476,,871.05,Paiement partiel 2 facture FAC-2025-40476,4879.0,2025-07-28 15:45:43.136693,releve_202503.csv,,text/csv,,2025-03-04,PARTIAL,,
1974,2025-03-16,VIREMENT RECU,PAIEMENT PARTIEL 3/4 - REF: FAC-2025-40476,,871.05,Paiement partiel 3 facture FAC-2025-40476,4879.0,2025-07-28 15:45:43.136693,releve_202503.csv,,text/csv,,2025-03-16,PARTIAL,,
1975,2025-03-17,VIREMENT RECU,PAIEMENT PARTIEL 4/4 - REF: FAC-2025-40476,,871.0499999999997,Paiement partiel 4 facture FAC-2025-40476,4879.0,2025-07-28 15:45:43.136693,releve_202503.csv,,text/csv,,2025-03-17,PARTIAL,,
1976,2025-04-04,VIREMENT RECU,PAIEMENT PARTIEL 1/4 - REF: FAC-2024-45926,,2131.19,Paiement partiel 1 facture FAC-2024-45926,4881.0,2025-07-28 15:45:43.136693,releve_202504.csv,,text/csv,,2025-04-04,PARTIAL,,
1977,2025-03-22,VIREMENT RECU,PAIEMENT PARTIEL 2/4 - REF: FAC-2024-45926,,2131.19,Paiement partiel 2 facture FAC-2024-45926,4881.0,2025-07-28 15:45:43.136693,releve_202503.csv,,text/csv,,2025-03-22,PARTIAL,,
1978,2025-03-23,VIREMENT RECU,PAIEMENT PARTIEL 3/4 - REF: FAC-2024-45926,,2131.19,Paiement partiel 3 facture FAC-2024-45926,4881.0,2025-07-28 15:45:43.136693,releve_202503.csv,,text/csv,,2025-03-23,PARTIAL,,
1979,2025-03-23,VIREMENT RECU,PAIEMENT PARTIEL 4/4 - REF: FAC-2024-45926,,2131.189999999999,Paiement partiel 4 facture FAC-2024-45926,4881.0,2025-07-28 15:45:43.136693,releve_202503.csv,,text/csv,,2025-03-23,PARTIAL,,
1980,2023-11-01,VIREMENT RECU,PAIEMENT PARTIEL 1/3 - REF: FAC-2023-47079,,3195.73,Paiement partiel 1 facture FAC-2023-47079,4882.0,2025-07-28 15:45:43.136693,releve_202311.csv,,text/csv,,2023-11-01,PARTIAL,,
1981,2023-11-11,VIREMENT RECU,PAIEMENT PARTIEL 2/3 - REF: FAC-2023-47079,,3195.74,Paiement partiel 2 facture FAC-2023-47079,4882.0,2025-07-28 15:45:43.136693,releve_202311.csv,,text/csv,,2023-11-11,PARTIAL,,
1982,2023-11-02,VIREMENT RECU,PAIEMENT PARTIEL 3/3 - REF: FAC-2023-47079,,3195.7300000000014,Paiement partiel 3 facture FAC-2023-47079,4882.0,2025-07-28 15:45:43.136693,releve_202311.csv,,text/csv,,2023-11-02,PARTIAL,,
1983,2024-02-11,VIREMENT RECU,PAIEMENT PARTIEL 1/3 - REF: FAC-2023-13621,,435.6,Paiement partiel 1 facture FAC-2023-13621,4883.0,2025-07-28 15:45:43.136693,releve_202402.csv,,text/csv,,2024-02-11,PARTIAL,,
1984,2024-02-21,VIREMENT RECU,PAIEMENT PARTIEL 2/3 - REF: FAC-2023-13621,,435.6,Paiement partiel 2 facture FAC-2023-13621,4883.0,2025-07-28 15:45:43.136693,releve_202402.csv,,text/csv,,2024-02-21,PARTIAL,,
1985,2024-02-13,VIREMENT RECU,PAIEMENT PARTIEL 3/3 - REF: FAC-2023-13621,,435.5999999999999,Paiement partiel 3 facture FAC-2023-13621,4883.0,2025-07-28 15:45:43.136693,releve_202402.csv,,text/csv,,2024-02-13,PARTIAL,,
1986,2024-10-08,VIREMENT RECU,PAIEMENT PARTIEL 1/2 - REF: FAC-2024-99557,,1005.21,Paiement partiel 1 facture FAC-2024-99557,4885.0,2025-07-28 15:45:43.136693,releve_202410.csv,,text/csv,,2024-10-08,PARTIAL,,
1987,2024-10-10,VIREMENT RECU,PAIEMENT PARTIEL 2/2 - REF: FAC-2024-99557,,1005.21,Paiement partiel 2 facture FAC-2024-99557,4885.0,2025-07-28 15:45:43.136693,releve_202410.csv,,text/csv,,2024-10-10,PARTIAL,,
1988,2025-02-25,VIREMENT RECU,PAIEMENT PARTIEL 1/4 - REF: FAC-2025-30142,,4510.17,Paiement partiel 1 facture FAC-2025-30142,4891.0,2025-07-28 15:45:43.136693,releve_202502.csv,,text/csv,,2025-02-25,PARTIAL,,
1989,2025-03-15,VIREMENT RECU,PAIEMENT PARTIEL 2/4 - REF: FAC-2025-30142,,4510.17,Paiement partiel 2 facture FAC-2025-30142,4891.0,2025-07-28 15:45:43.136693,releve_202503.csv,,text/csv,,2025-03-15,PARTIAL,,
1990,2025-03-08,VIREMENT RECU,PAIEMENT PARTIEL 3/4 - REF: FAC-2025-30142,,4510.17,Paiement partiel 3 facture FAC-2025-30142,4891.0,2025-07-28 15:45:43.136693,releve_202503.csv,,text/csv,,2025-03-08,PARTIAL,,
1991,2025-03-04,VIREMENT RECU,PAIEMENT PARTIEL 4/4 - REF: FAC-2025-30142,,4510.1799999999985,Paiement partiel 4 facture FAC-2025-30142,4891.0,2025-07-28 15:45:43.136693,releve_202503.csv,,text/csv,,2025-03-04,PARTIAL,,
1992,2024-11-26,VIREMENT RECU,PAIEMENT PARTIEL 1/3 - REF: FAC-2024-18065,,2537.96,Paiement partiel 1 facture FAC-2024-18065,4892.0,2025-07-28 15:45:43.136693,releve_202411.csv,,text/csv,,2024-11-26,PARTIAL,,
1993,2024-12-01,VIREMENT RECU,PAIEMENT PARTIEL 2/3 - REF: FAC-2024-18065,,2537.96,Paiement partiel 2 facture FAC-2024-18065,4892.0,2025-07-28 15:45:43.136693,releve_202412.csv,,text/csv,,2024-12-01,PARTIAL,,
1994,2024-12-14,VIREMENT RECU,PAIEMENT PARTIEL 3/3 - REF: FAC-2024-18065,,2537.96,Paiement partiel 3 facture FAC-2024-18065,4892.0,2025-07-28 15:45:43.136693,releve_202412.csv,,text/csv,,2024-12-14,PARTIAL,,
1995,2025-09-10,VIREMENT RECU,PAIEMENT PARTIEL 1/2 - REF: FAC-2025-98552,,2084.59,Paiement partiel 1 facture FAC-2025-98552,4893.0,2025-07-28 15:45:43.136693,releve_202509.csv,,text/csv,,2025-09-10,PARTIAL,,
1996,2025-08-28,VIREMENT RECU,PAIEMENT PARTIEL 2/2 - REF: FAC-2025-98552,,2084.59,Paiement partiel 2 facture FAC-2025-98552,4893.0,2025-07-28 15:45:43.136693,releve_202508.csv,,text/csv,,2025-08-28,PARTIAL,,
1997,2024-06-04,VIREMENT RECU,PAIEMENT PARTIEL 1/2 - REF: FAC-2024-03411,,2868.36,Paiement partiel 1 facture FAC-2024-03411,4894.0,2025-07-28 15:45:43.136693,releve_202406.csv,,text/csv,,2024-06-04,PARTIAL,,
1998,2024-06-29,VIREMENT RECU,PAIEMENT PARTIEL 2/2 - REF: FAC-2024-03411,,2868.35,Paiement partiel 2 facture FAC-2024-03411,4894.0,2025-07-28 15:45:43.136693,releve_202406.csv,,text/csv,,2024-06-29,PARTIAL,,
1999,2024-01-17,VIREMENT RECU,PAIEMENT PARTIEL 1/2 - REF: FAC-2023-24265,,2504.32,Paiement partiel 1 facture FAC-2023-24265,4896.0,2025-07-28 15:45:43.136693,releve_202401.csv,,text/csv,,2024-01-17,PARTIAL,,
2000,2023-12-23,VIREMENT RECU,PAIEMENT PARTIEL 2/2 - REF: FAC-2023-24265,,2504.32,Paiement partiel 2 facture FAC-2023-24265,4896.0,2025-07-28 15:45:43.136693,releve_202312.csv,,text/csv,,2023-12-23,PARTIAL,,
2001,2023-11-12,VIREMENT RECU,PAIEMENT PARTIEL 1/4 - REF: FAC-2023-72874,,2915.28,Paiement partiel 1 facture FAC-2023-72874,4898.0,2025-07-28 15:45:43.136693,releve_202311.csv,,text/csv,,2023-11-12,PARTIAL,,
2002,2023-11-10,VIREMENT RECU,PAIEMENT PARTIEL 2/4 - REF: FAC-2023-72874,,2915.28,Paiement partiel 2 facture FAC-2023-72874,4898.0,2025-07-28 15:45:43.136693,releve_202311.csv,,text/csv,,2023-11-10,PARTIAL,,
2003,2023-11-12,VIREMENT RECU,PAIEMENT PARTIEL 3/4 - REF: FAC-2023-72874,,2915.28,Paiement partiel 3 facture FAC-2023-72874,4898.0,2025-07-28 15:45:43.136693,releve_202311.csv,,text/csv,,2023-11-12,PARTIAL,,
2004,2023-12-04,VIREMENT RECU,PAIEMENT PARTIEL 4/4 - REF: FAC-2023-72874,,2915.2799999999993,Paiement partiel 4 facture FAC-2023-72874,4898.0,2025-07-28 15:45:43.136693,releve_202312.csv,,text/csv,,2023-12-04,PARTIAL,,
2005,2024-12-06,VIREMENT RECU,PAIEMENT PARTIEL 1/2 - REF: FAC-2024-95535,,8089.09,Paiement partiel 1 facture FAC-2024-95535,4900.0,2025-07-28 15:45:43.136693,releve_202412.csv,,text/csv,,2024-12-06,PARTIAL,,
2006,2024-12-03,VIREMENT RECU,PAIEMENT PARTIEL 2/2 - REF: FAC-2024-95535,,8089.09,Paiement partiel 2 facture FAC-2024-95535,4900.0,2025-07-28 15:45:43.136693,releve_202412.csv,,text/csv,,2024-12-03,PARTIAL,,
2007,2024-10-24,VIREMENT RECU,PAIEMENT PARTIEL 1/2 - REF: FAC-2024-67763,,66.55,Paiement partiel 1 facture FAC-2024-67763,4901.0,2025-07-28 15:45:43.136693,releve_202410.csv,,text/csv,,2024-10-24,PARTIAL,,
2008,2024-11-05,VIREMENT RECU,PAIEMENT PARTIEL 2/2 - REF: FAC-2024-67763,,66.55,Paiement partiel 2 facture FAC-2024-67763,4901.0,2025-07-28 15:45:43.136693,releve_202411.csv,,text/csv,,2024-11-05,PARTIAL,,
2009,2023-11-28,VIREMENT RECU,PAIEMENT PARTIEL 1/4 - REF: FAC-2023-86107,,2596.1,Paiement partiel 1 facture FAC-2023-86107,4902.0,2025-07-28 15:45:43.136693,releve_202311.csv,,text/csv,,2023-11-28,PARTIAL,,
2010,2023-12-20,VIREMENT RECU,PAIEMENT PARTIEL 2/4 - REF: FAC-2023-86107,,2596.1,Paiement partiel 2 facture FAC-2023-86107,4902.0,2025-07-28 15:45:43.136693,releve_202312.csv,,text/csv,,2023-12-20,PARTIAL,,
2011,2023-12-03,VIREMENT RECU,PAIEMENT PARTIEL 3/4 - REF: FAC-2023-86107,,2596.1,Paiement partiel 3 facture FAC-2023-86107,4902.0,2025-07-28 15:45:43.136693,releve_202312.csv,,text/csv,,2023-12-03,PARTIAL,,
2012,2023-12-02,VIREMENT RECU,PAIEMENT PARTIEL 4/4 - REF: FAC-2023-86107,,2596.099999999999,Paiement partiel 4 facture FAC-2023-86107,4902.0,2025-07-28 15:45:43.136693,releve_202312.csv,,text/csv,,2023-12-02,PARTIAL,,
2013,2025-07-20,VIREMENT RECU,PAIEMENT PARTIEL 1/4 - REF: FAC-2025-15544,,283.39,Paiement partiel 1 facture FAC-2025-15544,4903.0,2025-07-28 15:45:43.136693,releve_202507.csv,,text/csv,,2025-07-20,PARTIAL,,
2014,2025-07-25,VIREMENT RECU,PAIEMENT PARTIEL 2/4 - REF: FAC-2025-15544,,283.4,Paiement partiel 2 facture FAC-2025-15544,4903.0,2025-07-28 15:45:43.136693,releve_202507.csv,,text/csv,,2025-07-25,PARTIAL,,
2015,2025-07-19,VIREMENT RECU,PAIEMENT PARTIEL 3/4 - REF: FAC-2025-15544,,283.39,Paiement partiel 3 facture FAC-2025-15544,4903.0,2025-07-28 15:45:43.136693,releve_202507.csv,,text/csv,,2025-07-19,PARTIAL,,
2016,2025-07-26,VIREMENT RECU,PAIEMENT PARTIEL 4/4 - REF: FAC-2025-15544,,283.4,Paiement partiel 4 facture FAC-2025-15544,4903.0,2025-07-28 15:45:43.136693,releve_202507.csv,,text/csv,,2025-07-26,PARTIAL,,
2017,2025-09-16,VIREMENT RECU,PAIEMENT PARTIEL 1/4 - REF: FAC-2025-32847,,430.89,Paiement partiel 1 facture FAC-2025-32847,4908.0,2025-07-28 15:45:43.136693,releve_202509.csv,,text/csv,,2025-09-16,PARTIAL,,
2018,2025-09-17,VIREMENT RECU,PAIEMENT PARTIEL 2/4 - REF: FAC-2025-32847,,430.89,Paiement partiel 2 facture FAC-2025-32847,4908.0,2025-07-28 15:45:43.136693,releve_202509.csv,,text/csv,,2025-09-17,PARTIAL,,
2019,2025-09-19,VIREMENT RECU,PAIEMENT PARTIEL 3/4 - REF: FAC-2025-32847,,430.88,Paiement partiel 3 facture FAC-2025-32847,4908.0,2025-07-28 15:45:43.136693,releve_202509.csv,,text/csv,,2025-09-19,PARTIAL,,
