TRANSACTION_ID,AMOUNT,DATE,LABEL,REFERENCE,TYPE,INVOICE_ID
3835,23672.65,2024-08-30,VIR MULTI 3 FAC,"FAC-2024-19977,FAC-2024-90392,FAC-2024-09666",GROUPED,"6294,6295,6296"
3836,40219.979999999996,2025-10-01,VIR MULTI 3 FAC,"FAC-2025-18749,FAC-2024-50999,FAC-2024-21854",GROUPED,"6302,6307,6310"
3837,21907.64,2025-03-11,VIR MULTI 3 FAC,"FAC-2025-08301,FAC-2025-79882,FAC-2024-07897",GROUPED,"6311,6312,6313"
3838,42068.74,2025-05-03,VIR MULTI 3 FAC,"FAC-2025-95222,FAC-2023-73953,FAC-2024-61383",GROUPED,"6321,6325,6326"
3839,12656.869999999999,2025-05-31,VIR MULTI 3 FAC,"FAC-2025-76407,FAC-2025-87712,FAC-2024-43519",GROUPED,"6327,6329,6331"
3840,40929.72,2025-02-09,VIR MULTI 3 FAC,"FAC-2024-49002,FAC-2023-80056,FAC-2025-30710",GROUPED,"6337,6343,6347"
3841,69889.54,2024-10-30,VIR MULTI 3 FAC,"FAC-2024-84869,FAC-2025-57162,FAC-2023-46321",GROUPED,"6348,6354,6357"
3842,31166.760000000002,2024-03-05,VIR MULTI 3 FAC,"FAC-2024-89624,FAC-2024-41376,FAC-2025-18156",GROUPED,"6358,6360,6361"
3843,22915.350000000002,2023-10-16,VIR MULTI 3 FAC,"FAC-2023-57035,FAC-2024-74223,FAC-2024-27727",GROUPED,"6363,6367,6369"
3844,77748.67,2025-09-13,VIR MULTI 3 FAC,"FAC-2025-44691,FAC-2025-74471,FAC-2024-09383",GROUPED,"6371,6372,6374"
3845,15486.92,2024-12-17,VIR MULTI 3 FAC,"FAC-2024-60548,FAC-2024-47338,FAC-2023-26935",GROUPED,"6377,6380,6381"
3846,36815.78,2023-12-10,VIR MULTI 3 FAC,"FAC-2023-83906,FAC-2024-17120,FAC-2025-65232",GROUPED,"6382,6384,6385"
3847,25507.48,2024-03-14,VIR MULTI 3 FAC,"FAC-2024-36369,FAC-2025-13358,FAC-2025-33064",GROUPED,"6393,6395,6397"
3848,35879.979999999996,2023-10-23,VIR MULTI 3 FAC,"FAC-2023-89083,FAC-2024-87622,FAC-2024-17749",GROUPED,"6398,6399,6401"
3849,24051.06,2024-05-27,VIR MULTI 3 FAC,"FAC-2024-32541,FAC-2024-69873,FAC-2025-68162",GROUPED,"6404,6408,6410"
3850,26553.85,2023-12-28,VIR MULTI 3 FAC,"FAC-2023-05765,FAC-2024-97561,FAC-2025-60263",GROUPED,"6414,6415,6418"
3851,61250.78,2025-01-21,VIR MULTI 3 FAC,"FAC-2024-40242,FAC-2024-17157,FAC-2025-65854",GROUPED,"6421,6426,6429"
3852,8551.63,2024-03-15,VIR MULTI 3 FAC,"FAC-2023-96340,FAC-2024-02903,FAC-2024-16053",GROUPED,"6431,6432,6433"
3853,28228.940000000002,2024-05-10,VIR MULTI 3 FAC,"FAC-2024-85110,FAC-2023-57439,FAC-2025-01956",GROUPED,"6437,6438,6444"
3854,40748.479999999996,2025-03-18,VIR MULTI 3 FAC,"FAC-2025-00020,FAC-2024-43454,FAC-2024-08770",GROUPED,"6445,6455,6456"
3855,40145.46000000001,2025-07-01,VIR MULTI 3 FAC,"FAC-2025-36956,FAC-2024-88426,FAC-2023-01786",GROUPED,"6458,6461,6466"
3856,34938.82,2025-04-02,VIR MULTI 3 FAC,"FAC-2025-12568,FAC-2024-26227,FAC-2024-95107",GROUPED,"6468,6469,6471"
3857,49212.71,2024-07-09,VIR MULTI 3 FAC,"FAC-2024-99925,FAC-2024-50784,FAC-2024-79513",GROUPED,"6472,6476,6487"
3858,30795.93,2025-01-24,VIR MULTI 3 FAC,"FAC-2024-52247,FAC-2023-60909,FAC-2025-67994",GROUPED,"6488,6490,6491"
3859,16523.690000000002,2024-12-25,VIR MULTI 3 FAC,"FAC-2024-35544,FAC-2024-39878,FAC-2024-23197",GROUPED,"6492,6496,6497"
3860,44544.78,2023-11-04,VIR MULTI 3 FAC,"FAC-2023-06901,FAC-2025-44737,FAC-2025-35104",GROUPED,"6498,6503,6504"
3861,12712.76,2024-09-11,VIR MULTI 3 FAC,"FAC-2024-74307,FAC-2024-45635,FAC-2024-76460",GROUPED,"6508,6512,6514"
3862,58215.49,2025-06-12,VIR MULTI 3 FAC,"FAC-2025-34858,FAC-2024-88435,FAC-2025-42344",GROUPED,"6521,6533,6536"
3863,25892.510000000002,2025-09-27,VIR MULTI 3 FAC,"FAC-2025-61211,FAC-2024-77590,FAC-2023-18604",GROUPED,"6539,6541,6542"
3864,46330.07,2023-11-18,VIR MULTI 3 FAC,"FAC-2023-38182,FAC-2023-01732,FAC-2024-75702",GROUPED,"6543,6545,6547"
3865,29837.52,2025-07-19,VIR MULTI 3 FAC,"FAC-2025-56788,FAC-2025-47256,FAC-2024-68331",GROUPED,"6549,6550,6551"
3866,19056.16,2025-03-29,VIR MULTI 3 FAC,"FAC-2025-83737,FAC-2025-92093,FAC-2024-83678",GROUPED,"6552,6553,6555"
3867,45802.34,2025-07-16,VIR MULTI 3 FAC,"FAC-2025-71435,FAC-2025-69990,FAC-2023-11896",GROUPED,"6558,6561,6565"
3868,36767.74,2025-05-10,VIR MULTI 3 FAC,"FAC-2025-79054,FAC-2023-78740,FAC-2025-51414",GROUPED,"6569,6570,6572"
3869,18418.059999999998,2023-10-29,VIR MULTI 3 FAC,"FAC-2023-65997,FAC-2025-66967,FAC-2025-62200",GROUPED,"6574,6576,6578"
3870,49612.14,2023-10-20,VIR MULTI 3 FAC,"FAC-2023-43329,FAC-2024-40169,FAC-2023-47785",GROUPED,"6580,6581,6584"
3871,8906.74,2024-11-17,VIR MULTI 3 FAC,"FAC-2024-56372,FAC-2024-58814,FAC-2023-51237",GROUPED,"6586,6590,6592"
3872,51893.979999999996,2024-04-25,VIR MULTI 3 FAC,"FAC-2024-99572,FAC-2023-81247,FAC-2025-81015",GROUPED,"6593,6596,6597"
3873,39800.16,2025-01-06,VIR MULTI 3 FAC,"FAC-2024-71005,FAC-2024-27786,FAC-2024-62916",GROUPED,"6598,6601,6604"
3874,47129.51,2024-03-08,VIR MULTI 3 FAC,"FAC-2024-22157,FAC-2025-36248,FAC-2025-80197",GROUPED,"6605,6609,6611"
3875,29569.22,2024-06-26,VIR MULTI 3 FAC,"FAC-2024-82022,FAC-2025-77069,FAC-2025-55040",GROUPED,"6615,6620,6623"
3876,31480.46,2024-12-04,VIR MULTI 3 FAC,"FAC-2024-40561,FAC-2025-85632,FAC-2024-50263",GROUPED,"6626,6628,6629"
