TRANSACTION_ID,AMOUNT,DATE,LABEL,REFERENCE,TYPE,INVOICE_ID
1,15081.04,2025-07-01,VIR FAC-2025-15902,FAC-2025-15902,MATCHED,3
2,21417.11,2025-08-09,VIR FAC-2025-39892,FAC-2025-39892,MATCHED,4
3,490.5,2025-08-31,VIR FAC-2025-55849,FAC-2025-55849,MATCHED,7
4,6687.0,2024-12-22,VIR FAC-2024-41836,FAC-2024-41836,MATCHED,10
5,3291.59,2024-01-20,VIR FAC-2023-17821,FAC-2023-17821,MATCHED,14
6,13566.02,2025-08-15,VIR FAC-2025-98745,FAC-2025-98745,MATCHED,16
7,1600.81,2025-09-18,VIR FAC-2025-14122,FAC-2025-14122,MATCHED,17
8,8042.1,2025-06-03,VIR FAC-2025-31158,FAC-2025-31158,MATCHED,18
9,4870.14,2024-11-27,VIR FAC-2024-15598,FAC-2024-15598,MATCHED,21
10,2979.55,2025-05-10,VIR FAC-2025-67362,FAC-2025-67362,MATCHED,22
11,1204.16,2024-07-07,VIR FAC-2024-59971,FAC-2024-59971,MATCHED,26
12,20200.84,2025-07-10,VIR FAC-2025-32501,FAC-2025-32501,MATCHED,30
13,5239.01,2024-11-07,VIR FAC-2024-07256,FAC-2024-07256,MATCHED,32
14,21860.28,2023-10-15,VIR FAC-2023-64278,FAC-2023-64278,MATCHED,35
15,16401.22,2024-12-04,VIR FAC-2024-41287,FAC-2024-41287,MATCHED,37
16,1081.0,2025-05-05,VIR FAC-2025-97661,FAC-2025-97661,MATCHED,40
17,3259.25,2025-03-04,VIR FAC-2025-66173,FAC-2025-66173,MATCHED,42
18,22474.37,2024-05-27,VIR FAC-2024-60224,FAC-2024-60224,MATCHED,43
19,20507.9,2024-10-06,VIR FAC-2024-08440,FAC-2024-08440,MATCHED,44
20,4185.36,2025-05-30,VIR FAC-2025-75225,FAC-2025-75225,MATCHED,48
21,23790.24,2024-08-15,VIR FAC-2024-33258,FAC-2024-33258,MATCHED,51
22,29263.5,2025-01-20,VIR FAC-2024-45470,FAC-2024-45470,MATCHED,55
23,326.3,2025-04-30,VIR FAC-2025-16889,FAC-2025-16889,MATCHED,58
24,33112.56,2024-10-07,VIR FAC-2024-82893,FAC-2024-82893,MATCHED,59
25,10815.5,2023-12-16,VIR FAC-2023-76087,FAC-2023-76087,MATCHED,60
26,23700.41,2025-05-25,VIR FAC-2025-02603,FAC-2025-02603,MATCHED,61
27,17955.07,2024-12-09,VIR FAC-2024-45911,FAC-2024-45911,MATCHED,62
28,31252.8,2024-09-17,VIR FAC-2024-50033,FAC-2024-50033,MATCHED,64
29,2421.42,2024-08-19,VIR FAC-2024-52673,FAC-2024-52673,MATCHED,67
30,3075.41,2024-07-17,VIR FAC-2024-43008,FAC-2024-43008,MATCHED,69
31,36536.77,2024-01-01,VIR FAC-2023-24297,FAC-2023-24297,MATCHED,73
32,11936.44,2024-12-06,VIR FAC-2024-36210,FAC-2024-36210,MATCHED,75
33,1896.42,2025-05-02,VIR FAC-2025-98792,FAC-2025-98792,MATCHED,76
34,24274.54,2024-08-25,VIR FAC-2024-84588,FAC-2024-84588,MATCHED,77
35,16654.2,2025-02-26,VIR FAC-2024-06653,FAC-2024-06653,MATCHED,78
36,12564.08,2025-03-31,VIR FAC-2025-24321,FAC-2025-24321,MATCHED,84
37,2129.11,2024-01-31,VIR FAC-2023-65856,FAC-2023-65856,MATCHED,86
38,11421.56,2025-08-23,VIR FAC-2025-13549,FAC-2025-13549,MATCHED,89
39,1586.06,2025-02-08,VIR FAC-2024-95070,FAC-2024-95070,MATCHED,90
40,9378.58,2025-02-26,VIR FAC-2024-10133,FAC-2024-10133,MATCHED,91
41,23497.34,2025-10-17,VIR FAC-2025-23182,FAC-2025-23182,MATCHED,96
42,5904.49,2025-07-30,VIR FAC-2025-04105,FAC-2025-04105,MATCHED,98
43,190.67,2024-10-28,VIR FAC-2024-11055,FAC-2024-11055,MATCHED,101
44,2199.2,2025-08-25,VIR FAC-2025-30057,FAC-2025-30057,MATCHED,103
45,31162.24,2024-01-19,VIR FAC-2023-20837,FAC-2023-20837,MATCHED,109
46,19215.18,2023-12-13,VIR FAC-2023-98025,FAC-2023-98025,MATCHED,113
47,12538.58,2024-03-06,VIR FAC-2024-22588,FAC-2024-22588,MATCHED,115
48,2329.75,2025-04-04,VIR FAC-2025-88957,FAC-2025-88957,MATCHED,116
49,245.63,2025-05-07,VIR FAC-2025-01857,FAC-2025-01857,MATCHED,118
50,10110.24,2024-03-26,VIR FAC-2024-89855,FAC-2024-89855,MATCHED,119
51,5411.66,2025-09-05,VIR FAC-2025-29774,FAC-2025-29774,MATCHED,121
52,2296.63,2024-09-12,VIR FAC-2024-74010,FAC-2024-74010,MATCHED,128
53,32941.58,2023-12-22,VIR FAC-2023-03473,FAC-2023-03473,MATCHED,137
54,8466.75,2025-03-01,VIR FAC-2025-49648,FAC-2025-49648,MATCHED,140
55,1850.4,2025-07-04,VIR FAC-2025-87401,FAC-2025-87401,MATCHED,142
56,4848.84,2024-01-25,VIR FAC-2023-77547,FAC-2023-77547,MATCHED,144
57,16677.05,2024-12-16,VIR FAC-2024-17607,FAC-2024-17607,MATCHED,151
58,17715.11,2023-11-03,VIR FAC-2023-40569,FAC-2023-40569,MATCHED,154
59,2470.11,2024-01-02,VIR FAC-2023-23594,FAC-2023-23594,MATCHED,156
60,7880.25,2025-10-15,VIR FAC-2025-13864,FAC-2025-13864,MATCHED,157
61,4068.26,2023-11-24,VIR FAC-2023-77077,FAC-2023-77077,MATCHED,158
62,8775.81,2024-09-20,VIR FAC-2024-33517,FAC-2024-33517,MATCHED,159
63,29302.85,2024-09-28,VIR FAC-2024-06225,FAC-2024-06225,MATCHED,160
64,7215.18,2025-05-21,VIR FAC-2025-66782,FAC-2025-66782,MATCHED,161
65,25299.78,2023-11-28,VIR FAC-2023-50428,FAC-2023-50428,MATCHED,167
66,5077.16,2024-12-22,VIR FAC-2024-13132,FAC-2024-13132,MATCHED,168
67,10359.36,2024-11-02,VIR FAC-2024-95049,FAC-2024-95049,MATCHED,172
68,2186.96,2025-04-19,VIR FAC-2025-89558,FAC-2025-89558,MATCHED,180
69,13741.08,2024-07-27,VIR FAC-2024-30502,FAC-2024-30502,MATCHED,182
70,20779.44,2024-11-27,VIR FAC-2024-09957,FAC-2024-09957,MATCHED,187
71,6741.27,2025-07-15,VIR FAC-2025-86161,FAC-2025-86161,MATCHED,188
72,16436.69,2024-10-17,VIR FAC-2024-41252,FAC-2024-41252,MATCHED,190
73,30834.0,2024-12-02,VIR FAC-2024-11142,FAC-2024-11142,MATCHED,192
74,2224.46,2024-01-07,VIR FAC-2023-23746,FAC-2023-23746,MATCHED,194
75,4855.0,2024-04-10,VIR FAC-2024-52443,FAC-2024-52443,MATCHED,203
76,15908.89,2024-02-15,VIR FAC-2023-60703,FAC-2023-60703,MATCHED,205
77,19083.54,2024-05-31,VIR FAC-2024-85686,FAC-2024-85686,MATCHED,206
78,5875.69,2025-02-10,VIR FAC-2024-99411,FAC-2024-99411,MATCHED,207
79,7034.55,2024-11-17,VIR FAC-2024-19950,FAC-2024-19950,MATCHED,210
80,23744.28,2023-11-13,VIR FAC-2023-24901,FAC-2023-24901,MATCHED,212
81,10917.75,2024-06-06,VIR FAC-2024-16722,FAC-2024-16722,MATCHED,219
82,4143.5,2025-06-20,VIR FAC-2025-14612,FAC-2025-14612,MATCHED,224
83,21935.16,2024-03-21,VIR FAC-2023-70271,FAC-2023-70271,MATCHED,225
84,18660.06,2025-07-16,VIR FAC-2025-16649,FAC-2025-16649,MATCHED,226
85,12641.66,2024-06-21,VIR FAC-2024-81409,FAC-2024-81409,MATCHED,227
86,5008.2,2025-07-03,VIR FAC-2025-43629,FAC-2025-43629,MATCHED,236
87,20309.33,2024-09-18,VIR FAC-2024-93769,FAC-2024-93769,MATCHED,237
88,28718.88,2025-01-21,VIR FAC-2024-31077,FAC-2024-31077,MATCHED,242
89,11970.51,2024-01-26,VIR FAC-2023-63187,FAC-2023-63187,MATCHED,243
90,12736.08,2024-07-22,VIR FAC-2024-57893,FAC-2024-57893,MATCHED,245
91,3175.68,2025-07-28,VIR FAC-2025-87065,FAC-2025-87065,MATCHED,251
92,10133.0,2024-11-27,VIR FAC-2024-10252,FAC-2024-10252,MATCHED,252
93,4328.29,2024-10-07,VIR FAC-2024-78398,FAC-2024-78398,MATCHED,253
94,909.83,2024-10-27,VIR FAC-2024-07487,FAC-2024-07487,MATCHED,254
