TRANSACTION_ID,AMOUNT,DATE,LABEL,REFERENCE,TYPE,INVOICE_ID
1912,1790.72,2025-01-05,VIR PARTIEL FAC-2024-92054,FAC-2024-92054-1,PARTIAL,4751
1913,1790.72,2025-01-23,VIR PARTIEL FAC-2024-92054,FAC-2024-92054-2,PARTIAL,4751
1914,1790.7199999999996,2025-01-17,VIR PARTIEL FAC-2024-92054,FAC-2024-92054-3,PARTIAL,4751
1915,180.44,2024-02-11,VIR PARTIEL FAC-2023-87118,FAC-2023-87118-1,PARTIAL,4752
1916,180.45,2024-01-23,VIR PARTIEL FAC-2023-87118,FAC-2023-87118-2,PARTIAL,4752
1917,180.44,2024-01-27,VIR PARTIEL FAC-2023-87118,FAC-2023-87118-3,PARTIAL,4752
1918,180.44999999999993,2024-02-16,VIR PARTIEL FAC-2023-87118,FAC-2023-87118-4,PARTIAL,4752
1919,9333.12,2025-05-25,VIR PARTIEL FAC-2025-57210,FAC-2025-57210-1,PARTIAL,4755
1920,9333.12,2025-06-04,VIR PARTIEL FAC-2025-57210,FAC-2025-57210-2,PARTIAL,4755
1921,9333.119999999997,2025-05-22,VIR PARTIEL FAC-2025-57210,FAC-2025-57210-3,PARTIAL,4755
1922,6918.43,2023-12-28,VIR PARTIEL FAC-2023-81951,FAC-2023-81951-1,PARTIAL,4756
1923,6918.43,2023-12-13,VIR PARTIEL FAC-2023-81951,FAC-2023-81951-2,PARTIAL,4756
1924,8822.4,2024-10-09,VIR PARTIEL FAC-2024-27330,FAC-2024-27330-1,PARTIAL,4761
1925,8822.4,2024-10-17,VIR PARTIEL FAC-2024-27330,FAC-2024-27330-2,PARTIAL,4761
1926,3901.95,2025-05-10,VIR PARTIEL FAC-2025-65672,FAC-2025-65672-1,PARTIAL,4763
1927,3901.95,2025-05-06,VIR PARTIEL FAC-2025-65672,FAC-2025-65672-2,PARTIAL,4763
1928,9927.53,2024-12-22,VIR PARTIEL FAC-2024-70400,FAC-2024-70400-1,PARTIAL,4766
1929,9927.53,2024-12-28,VIR PARTIEL FAC-2024-70400,FAC-2024-70400-2,PARTIAL,4766
1930,510.42,2024-10-25,VIR PARTIEL FAC-2024-53157,FAC-2024-53157-1,PARTIAL,4767
1931,510.42,2024-11-06,VIR PARTIEL FAC-2024-53157,FAC-2024-53157-2,PARTIAL,4767
1932,510.42,2024-11-09,VIR PARTIEL FAC-2024-53157,FAC-2024-53157-3,PARTIAL,4767
1933,510.4199999999999,2024-11-03,VIR PARTIEL FAC-2024-53157,FAC-2024-53157-4,PARTIAL,4767
1934,2541.38,2024-05-25,VIR PARTIEL FAC-2024-95566,FAC-2024-95566-1,PARTIAL,4768
1935,2541.37,2024-05-08,VIR PARTIEL FAC-2024-95566,FAC-2024-95566-2,PARTIAL,4768
1936,2541.38,2024-05-22,VIR PARTIEL FAC-2024-95566,FAC-2024-95566-3,PARTIAL,4768
1937,2541.37,2024-05-26,VIR PARTIEL FAC-2024-95566,FAC-2024-95566-4,PARTIAL,4768
1938,10071.0,2025-09-10,VIR PARTIEL FAC-2025-16496,FAC-2025-16496-1,PARTIAL,4769
1939,10071.0,2025-09-26,VIR PARTIEL FAC-2025-16496,FAC-2025-16496-2,PARTIAL,4769
1940,10071.0,2025-09-03,VIR PARTIEL FAC-2025-16496,FAC-2025-16496-3,PARTIAL,4769
1941,640.98,2024-01-20,VIR PARTIEL FAC-2023-42394,FAC-2023-42394-1,PARTIAL,4770
1942,640.98,2024-01-21,VIR PARTIEL FAC-2023-42394,FAC-2023-42394-2,PARTIAL,4770
1943,640.98,2024-02-08,VIR PARTIEL FAC-2023-42394,FAC-2023-42394-3,PARTIAL,4770
1944,1506.07,2024-11-29,VIR PARTIEL FAC-2024-16487,FAC-2024-16487-1,PARTIAL,4771
