INVOICE_ID,INVOICE_DATE,CLIENT_ID,CLIENT_TYPE,TOTAL_HT,MONTANT_TVA,AMOUNT_TTC,RAS_5P,RAS_TVA,AMOUNT_TO_PAY,PU,QUANTITY,ELECTRONIC_DATE,PHYSICAL_DATE,EXPECTED_PAYMENT_DATE,LABEL,PO,INVOICE_YEAR,STATUS,PAYMENT_DATE,INVOICE_NUMBER
6396,2024-02-10,93,PRIVE,8938.05,1787.61,10725.66,0.0,0.0,10725.66,595.87,15,2024-02-11,,2024-05-06,Licence logicielle,PO-17323-sm,2024,PAID,2024-05-06,FAC-2024-33334
6398,2025-01-19,38,PRIVE,10449.48,2089.9,12539.38,0.0,0.0,12539.38,870.79,12,2025-01-20,,2025-03-03,Consulting IT,PO-83725-am,2025,PAID,2025-03-16,FAC-2025-05190
6399,2025-06-23,54,PRIVE,7702.8,1540.56,9243.36,0.0,0.0,9243.36,1100.4,7,2025-06-25,2025-06-26,2025-07-30,Formation technique,PO-37234-LR,2025,PAID,2025-08-10,FAC-2025-40200
6404,2024-06-06,3,PRIVE,2114.12,422.82,2536.94,0.0,0.0,2536.94,528.53,4,2024-06-07,2024-06-07,2024-07-16,Hébergement cloud,PO-96722-hf,2024,PAID,2024-07-10,FAC-2024-68739
6405,2024-11-23,56,PRIVE,20531.42,4106.28,24637.7,0.0,0.0,24637.7,1466.53,14,2024-11-23,2024-11-28,2025-01-16,Développement logiciel,PO-47856-cJ,2024,PAID,2025-01-16,FAC-2024-63886
6407,2023-08-06,3,PRIVE,2468.43,493.69,2962.12,0.0,0.0,2962.12,822.81,3,2023-08-08,2023-08-09,2023-10-08,Formation technique,PO-62877-VG,2023,PAID,2023-10-05,FAC-2023-37629
6408,2024-09-22,35,PUBLIC,14445.76,2889.15,17334.91,722.29,2166.86,14445.76,902.86,16,2024-09-22,2024-09-23,2024-10-22,Hébergement cloud,PO-95032-Nb,2024,PAID,2024-10-12,FAC-2024-51923
6410,2024-08-01,73,PRIVE,1977.56,395.51,2373.07,0.0,0.0,2373.07,988.78,2,2024-08-03,2024-08-02,2024-09-11,Hébergement cloud,PO-04047-FU,2024,PAID,2024-08-28,FAC-2024-28026
6411,2024-08-04,20,PRIVE,2976.48,595.3,3571.78,0.0,0.0,3571.78,228.96,13,2024-08-04,,2024-10-04,Licence logicielle,PO-88345-ga,2024,PAID,2024-10-11,FAC-2024-71732
6413,2024-06-22,35,PUBLIC,3123.54,624.71,3748.25,156.18,468.53,3123.54,1041.18,3,2024-06-24,2024-06-24,2024-08-26,Hébergement cloud,PO-90688-No,2024,PAID,2024-09-08,FAC-2024-12223
6414,2025-04-20,29,PUBLIC,21619.84,4323.97,25943.81,1080.99,3242.98,21619.84,1351.24,16,2025-04-21,2025-04-24,2025-05-26,Hébergement cloud,PO-95044-WW,2025,PAID,2025-05-21,FAC-2025-95449
6418,2024-01-11,34,PUBLIC,34563.42,6912.68,41476.1,1728.17,5184.51,34563.42,1920.19,18,2024-01-12,,2024-02-24,Hébergement cloud,PO-19659-Lt,2024,PAID,2024-03-01,FAC-2024-03139
6420,2023-11-17,79,PUBLIC,15451.18,3090.24,18541.42,772.56,2317.68,15451.18,813.22,19,2023-11-19,2023-11-18,2024-01-28,Licence logicielle,PO-30983-nT,2023,PAID,2024-01-27,FAC-2023-07635
6421,2024-01-05,61,PRIVE,24047.73,4809.55,28857.28,0.0,0.0,28857.28,1265.67,19,2024-01-06,2024-01-08,2024-03-13,Consulting IT,PO-31300-MH,2024,PAID,2024-03-27,FAC-2024-64712
6422,2023-10-28,71,PRIVE,4068.66,813.73,4882.39,0.0,0.0,4882.39,1356.22,3,2023-10-29,,2024-01-04,Licence logicielle,PO-32709-mW,2023,PAID,2024-01-19,FAC-2023-46793
6425,2025-04-28,4,PRIVE,5042.18,1008.44,6050.62,0.0,0.0,6050.62,458.38,11,2025-04-29,2025-04-29,2025-06-24,Consulting IT,PO-59696-nk,2025,PAID,2025-07-02,FAC-2025-95660
6430,2025-01-01,62,PRIVE,9888.62,1977.72,11866.34,0.0,0.0,11866.34,706.33,14,2025-01-01,2025-01-02,2025-02-22,Développement logiciel,PO-38202-yW,2025,PAID,2025-03-05,FAC-2025-48739
6432,2023-12-22,61,PRIVE,3203.04,640.61,3843.65,0.0,0.0,3843.65,533.84,6,2023-12-23,2023-12-23,2024-03-05,Maintenance SaaS,PO-06147-Dz,2023,PAID,2024-03-04,FAC-2023-05225
6441,2024-05-03,78,PUBLIC,432.81,86.56,519.37,21.64,64.92,432.81,144.27,3,2024-05-04,,2024-07-08,Maintenance SaaS,PO-82798-aE,2024,PAID,2024-07-17,FAC-2024-40190
6443,2023-08-22,55,PUBLIC,12314.94,2462.99,14777.93,615.75,1847.24,12314.94,1119.54,11,2023-08-22,2023-08-27,2023-10-03,Licence logicielle,PO-16242-XP,2023,PAID,2023-10-01,FAC-2023-64944
6449,2024-03-08,41,PRIVE,5856.48,1171.3,7027.78,0.0,0.0,7027.78,325.36,18,2024-03-10,2024-03-13,2024-05-05,Formation technique,PO-25192-Oy,2024,PAID,2024-05-10,FAC-2024-50367
6450,2025-03-28,14,PRIVE,196.72,39.34,236.06,0.0,0.0,236.06,196.72,1,2025-03-28,2025-04-02,2025-05-25,Hébergement cloud,PO-91203-fD,2025,PAID,2025-05-15,FAC-2025-89774
6451,2024-09-27,85,PRIVE,765.77,153.15,918.92,0.0,0.0,918.92,765.77,1,2024-09-29,2024-09-29,2024-11-01,Hébergement cloud,PO-36603-Kq,2024,PAID,2024-11-05,FAC-2024-87806
6456,2023-11-25,47,PRIVE,1884.72,376.94,2261.66,0.0,0.0,2261.66,1884.72,1,2023-11-26,2023-11-27,2024-01-21,Licence logicielle,PO-62860-ZK,2023,PAID,2024-02-04,FAC-2023-63611
6460,2024-10-31,78,PUBLIC,3354.06,670.81,4024.87,167.7,503.11,3354.06,1677.03,2,2024-10-31,2024-11-03,2024-12-26,Développement logiciel,PO-01023-ZQ,2024,PAID,2025-01-07,FAC-2024-31934
6466,2025-05-16,14,PRIVE,22473.64,4494.73,26968.37,0.0,0.0,26968.37,1605.26,14,2025-05-17,2025-05-18,2025-07-02,Maintenance SaaS,PO-19756-Ey,2025,PAID,2025-07-16,FAC-2025-74244
6468,2024-02-24,86,PRIVE,25701.79,5140.36,30842.15,0.0,0.0,30842.15,1511.87,17,2024-02-25,,2024-03-27,Consulting IT,PO-17043-ag,2024,PAID,2024-04-08,FAC-2024-38639
