INVOICE_ID,INVOICE_DATE,CLIENT_ID,CLIENT_TYPE,TOTAL_HT,MONTANT_TVA,AMOUNT_TTC,RAS_5P,RAS_TVA,AMOUNT_TO_PAY,PU,QUANTITY,ELECTRONIC_DATE,PHYSICAL_DATE,EXPECTED_PAYMENT_DATE,LABEL,PO,INVOICE_YEAR,STATUS,PAYMENT_DATE,INVOICE_NUMBER
2,2023-09-12,69,PRIVE,22738.35,4547.67,27286.02,0.0,0.0,27286.02,1337.55,17,2023-09-12,2023-09-15,2023-11-17,Hébergement cloud,PO-77813-My,2023,OVERDUE,,FAC-2023-04507
7,2024-11-17,66,PRIVE,16568.64,3313.73,19882.37,0.0,0.0,19882.37,1840.96,9,2024-11-18,,2025-01-27,Hébergement cloud,PO-62670-Ui,2024,SENT,,FAC-2024-66020
9,2023-08-12,79,PUBLIC,8801.34,1760.27,10561.61,440.07,1320.2,8801.34,1466.89,6,2023-08-13,,2023-09-18,Formation technique,PO-29130-Mk,2023,SENT,,FAC-2023-61382
11,2024-04-06,25,PUBLIC,222.1,44.42,266.52,11.11,33.31,222.1,111.05,2,2024-04-06,2024-04-08,2024-05-09,Licence logicielle,PO-76049-hZ,2024,SENT,,FAC-2024-16630
14,2024-03-11,70,PUBLIC,1350.99,270.2,1621.19,67.55,202.65,1350.99,450.33,3,2024-03-11,,2024-06-04,Licence logicielle,PO-13604-Hx,2024,SENT,,FAC-2024-71902
15,2025-05-30,58,PRIVE,13405.0,2681.0,16086.0,0.0,0.0,16086.0,670.25,20,2025-05-30,2025-05-31,2025-07-01,Développement logiciel,PO-04820-hw,2025,SENT,,FAC-2025-82802
20,2025-07-25,16,PRIVE,9646.35,1929.27,11575.62,0.0,0.0,11575.62,643.09,15,2025-07-26,2025-07-27,2025-09-06,Licence logicielle,PO-54064-Sy,2025,SENT,,FAC-2025-51863
21,2025-05-31,100,PRIVE,16036.4,3207.28,19243.68,0.0,0.0,19243.68,801.82,20,2025-06-01,2025-06-05,2025-07-19,Consulting IT,PO-87447-Yf,2025,DRAFT,,FAC-2025-65669
22,2025-05-15,87,PRIVE,1216.53,243.31,1459.84,0.0,0.0,1459.84,173.79,7,2025-05-17,2025-05-19,2025-07-26,Hébergement cloud,PO-95559-Kt,2025,DRAFT,,FAC-2025-79764
23,2025-03-29,63,PUBLIC,1553.97,310.79,1864.76,77.7,233.1,1553.96,91.41,17,2025-03-30,2025-03-31,2025-06-06,Formation technique,PO-20334-we,2025,OVERDUE,,FAC-2025-34485
25,2025-05-03,50,PRIVE,9030.8,1806.16,10836.96,0.0,0.0,10836.96,1128.85,8,2025-05-03,2025-05-07,2025-07-10,Maintenance SaaS,PO-67592-Xw,2025,OVERDUE,,FAC-2025-42550
