invoice_id,invoice_number,client_name,client_id,issue_date,due_date,payment_date,amount_ht,vat_rate,vat_amount,amount_ttc,currency,status,type,category,payment_method,notes,created_at,updated_at
1,INV-2025-1000,Traore SARL,115,2024-11-30,2025-01-24,2024-12-10,7441.35,5.5,409.27,7850.62,USD,paid,invoice,Development,bank_transfer,,2024-01-30,2024-10-17
4,INV-2025-1003,Guilbert S.A.,414,2024-01-08,2024-02-16,2024-01-30,8490.19,10.0,849.02,9339.21,EUR,paid,recurring,Development,bank_transfer,Gens hors douleur soleil réalité circonstance gloire.,2024-02-24,2024-09-21
5,INV-2025-1004,Morin S.A.R.L.,296,2024-01-06,2024-02-14,2024-02-07,3002.46,10.0,300.25,3302.71,USD,paid,invoice,IT_Services,credit_card,Exister éteindre discours apprendre.,2024-07-14,2025-02-16
8,INV-2025-1007,Rey SA,432,2025-03-14,2025-05-08,2025-04-11,2274.19,10.0,227.42,2501.61,EUR,paid,credit_note,IT_Services,paypal,,2024-05-14,2024-11-08
10,INV-2025-1009,Joubert Chauveau S.A.,460,2025-01-18,2025-02-17,2025-01-24,5435.88,20.0,1087.18,6523.06,CHF,paid,proforma,Hardware,credit_card,,2023-11-27,2025-01-18
15,INV-2025-1014,Brunet et Fils,44,2025-03-01,2025-04-04,2025-03-05,2484.63,0.0,0.0,2484.63,CHF,paid,invoice,Development,credit_card,,2023-11-25,2025-05-26
17,INV-2025-1016,Evrard,62,2024-05-14,2024-07-10,2024-07-10,4437.19,20.0,887.44,5324.63,USD,paid,credit_note,Consulting,paypal,,2024-02-04,2025-02-23
18,INV-2025-1017,Normand S.A.S.,363,2025-05-21,2025-07-10,2025-05-22,2280.15,0.0,0.0,2280.15,EUR,paid,credit_note,Consulting,bank_transfer,Regarder étage école cinq absence.,2025-02-03,2025-06-28
20,INV-2025-1019,Camus,217,2024-09-06,2024-10-03,2024-09-06,6623.93,10.0,662.39,7286.32,CHF,paid,recurring,IT_Services,bank_transfer,,2023-08-08,2024-09-04
24,INV-2025-1023,Leconte,147,2025-01-26,2025-03-06,2025-02-25,7862.3,20.0,1572.46,9434.76,CHF,paid,recurring,Software,credit_card,,2024-12-09,2024-12-15
26,INV-2025-1025,Pruvost S.A.S.,346,2023-09-10,2023-10-27,2023-10-12,1939.67,0.0,0.0,1939.67,USD,paid,recurring,Consulting,direct_debit,,2024-01-18,2025-03-08
27,INV-2025-1026,Neveu et Fils,479,2024-01-10,2024-03-03,2024-01-10,911.64,10.0,91.16,1002.8,GBP,paid,credit_note,Training,credit_card,,2023-09-07,2024-10-20
28,INV-2025-1027,Guérin,476,2023-09-13,2023-10-06,2023-09-16,3069.97,10.0,307.0,3376.97,EUR,paid,invoice,Support,direct_debit,Demeurer plaire croix cerveau traîner morceau interrompre.,2025-03-24,2025-01-22
31,INV-2025-1030,Antoine et Fils,310,2023-09-03,2023-09-24,2023-09-12,1638.93,10.0,163.89,1802.82,USD,paid,proforma,Hardware,paypal,,2024-04-12,2025-05-30
33,INV-2025-1032,Vidal,283,2024-07-05,2024-07-28,2024-07-18,2693.36,20.0,538.67,3232.03,CHF,paid,invoice,Consulting,bank_transfer,Inconnu songer avancer rire sien.,2023-10-08,2024-08-11
