STATEMENT_ID,STATEMENT_DATE,OPERATION_LABEL,ADDITIONAL_LABEL,DEBIT,CREDIT,COMMENTS,RELATED_INVOICE_ID,RELATED_EXPENSE_ID,VALUE_DATE,SOURCE_FILENAME,MIME_TYPE,CREATED_AT
1,2025-07-21,VIR Duhamel,REF FACT-2025-002689,,2072.7,Virement reçu,2689.0,,2025-07-21,,,2025-07-21
2,2025-07-21,PAIEMENT Meunier Delattre S.A,N° FACT-2025-002015,,10287.88,Virement reçu,2015.0,,2025-07-22,,,2025-07-21
3,2025-07-21,CB Gilbert,PAIEMENT FACTURE FACT-2025-004533,,7755.92,Règlement client,4533.0,,2025-07-22,,,2025-07-21
4,2025-07-21,PRLV Vallet-sur-Mer Hôpit,REGLEMENT FACT-2025-000962,,2998.19,Paiement conforme,962.0,,2025-07-22,,,2025-07-21
5,2025-07-21,VIREMENT Joubert Collège,REGLEMENT FACT-2025-002606,,523.91,Règlement client,2606.0,,2025-07-23,,,2025-07-21
6,2025-07-21,REGLEMENT Gosselin et Fils,REF FACT-2025-004207,,8870.37,Facture soldée,4207.0,,2025-07-23,,,2025-07-21
7,2025-07-21,CB Rey,REF FACTURE FACT-2025-001599,,6531.13,Règlement client,1599.0,,2025-07-21,,,2025-07-21
8,2025-07-21,VIR Bodin-la-Forêt Collè,FACTURE FACT-2025-000867,,8869.55,,867.0,,2025-07-21,,,2025-07-21
9,2025-07-21,VIR SEPA Alexandre-sur-Legran,FACT N°FACT-2025-000246,,8643.27,,246.0,,2025-07-22,,,2025-07-21
10,2025-07-21,VIREMENT Clerc Fleury SARL,REF FACT-2025-002906,,4342.4,Virement reçu,2906.0,,2025-07-21,,,2025-07-21
11,2025-07-21,CHEQUE Renault Université,REGLEMENT FACT-2025-004055,,479.69,Paiement conforme,4055.0,,2025-07-22,,,2025-07-21
12,2025-07-21,REGLEMENT Barbiernec Collège,FACTURE FACT-2025-002152,,159.31,Règlement client,2152.0,,2025-07-22,,,2025-07-21
13,2025-07-21,VIREMENT TecherVille Lycée,REF FACT-2025-000248,,7760.49,Règlement client,248.0,,2025-07-23,,,2025-07-21
14,2025-07-21,VIR SEPA MarchalVille Univers,REGLEMENT FACT-2025-000190,,3725.27,Facture soldée,190.0,,2025-07-22,,,2025-07-21
15,2025-07-21,PRLV Ferrand Hôpital,REF FACTURE FACT-2025-000961,,4217.16,Règlement client,961.0,,2025-07-22,,,2025-07-21
16,2025-07-21,VIR SEPA Bertrand,FACTURE FACT-2025-000548,,9112.74,Règlement client,548.0,,2025-07-21,,,2025-07-21
