EXPENSE_ID,TITLE,AMOUNT,LABEL,COMMENTS,EXPENSE_DATE,CREATED_AT,ATTACHMENT,TYPE,CATEGORY,EXPENSE_NUMBER,UPDATED_AT,STATUS,EXPECTED_PAYMENT_DATE
1,Salle Frais,81.24,Remboursement Grondin,Même énergie rassurer désigner retrouver place.,2025-07-22,2025-07-24,,food,Maintenance,EXP-2025-00001,2025-08-18,paid,2025-08-08
2,Même Frais,48.88,Remboursement Allard,Page nul neuf intérêt pouvoir.,2025-07-22,2025-07-24,,office,Frais bancaires,EXP-2025-00002,2025-07-24,unpaid,2025-08-01
3,Vent Dépense,91.67,Achat un,Simple pièce peine.,2025-07-22,2025-07-23,,other,Formation,EXP-2025-00003,2025-07-23,paid,2025-08-28
4,Muet Facture,184.64,Remboursement Godard,Rue comprendre passé écraser.,2025-07-22,2025-07-23,,lodging,R&D,EXP-2025-00004,2025-07-23,paid,2025-09-05
5,Proposer Dépense,45.27,Achat souvent,Race direction santé décider effet poète intérieur naissance.,2025-07-22,2025-07-24,,office,Logiciels,EXP-2025-00005,2025-07-24,paid,2025-08-08
6,Recevoir Frais,45.27,Frais préparer,Militaire vert battre.,2025-07-22,2025-07-22,,maintenance,Maintenance,EXP-2025-00006,2025-07-22,paid,2025-09-15
7,Maladie Achat,193.13,Remboursement Morvan,,2025-07-22,2025-07-22,,marketing,Services publics,EXP-2025-00007,2025-07-22,paid,2025-07-24
8,Exprimer Facture,100.88,Service fatigue,,2025-07-22,2025-07-24,,lodging,Hébergement,EXP-2025-00008,2025-07-24,paid,2025-09-13
9,Imaginer Achat,37.5,Facture Renard SA,,2025-07-22,2025-07-23,,marketing,Maintenance,EXP-2025-00009,2025-07-23,paid,2025-07-30
10,Sujet Facture,84.27,Remboursement Gaudin,,2025-07-22,2025-07-23,,professional,Formation,EXP-2025-00010,2025-07-23,paid,2025-09-08
11,Gouvernement Achat,37.69,Facture Ledoux,,2025-07-22,2025-07-22,,subscription,Loyer,EXP-2025-00011,2025-07-22,unpaid,2025-09-14
12,Livrer Achat,37.62,Remboursement Robert,,2025-07-22,2025-07-24,,equipment,Marketing,EXP-2025-00012,2025-07-24,paid,2025-09-01
13,Commander Achat,66.26,Service campagne,Reste voyage pointe guerre confier diriger chercher amuser.,2025-07-22,2025-07-22,,office,Services publics,EXP-2025-00013,2025-07-22,paid,2025-09-06
14,Presque Facture,11.82,Service tracer,Lorsque l'une enfermer tout chute comme chose haut.,2025-07-22,2025-07-24,,software,Services publics,EXP-2025-00014,2025-07-24,paid,2025-08-03
15,Devant Dépense,13.74,Achat haute,,2025-07-22,2025-07-22,,software,Fournitures bureau,EXP-2025-00015,2025-08-02,paid,2025-08-02
16,Danser Frais,34.82,Achat choix,,2025-07-22,2025-07-23,,lodging,Formation,EXP-2025-00016,2025-08-08,paid,2025-08-28
17,Présence Facture,24.28,Frais tirer,,2025-07-22,2025-07-23,,research,Hébergement,EXP-2025-00017,2025-07-23,paid,2025-09-14
18,Appartement Facture,70.2,Remboursement Toussaint,Oh silencieux événement voix.,2025-07-22,2025-07-22,,other,Frais de représentation,EXP-2025-00018,2025-08-12,paid,2025-08-26
19,Observer Facture,26.41,Remboursement Mathieu,,2025-07-22,2025-07-22,,subscription,Assurances,EXP-2025-00019,2025-07-28,paid,2025-09-02
20,Blond Achat,17.64,Note Bousquetdan,,2025-07-22,2025-07-24,,professional,Frais professionnels,EXP-2025-00020,2025-08-19,paid,2025-08-30
21,Forcer Achat,176.36,Note Saint Lucy,Plaindre art fine longtemps sans point.,2025-07-22,2025-07-23,,marketing,Transport,EXP-2025-00021,2025-08-06,unpaid,2025-08-09
22,Préparer Achat,45.58,Achat monter,,2025-07-22,2025-07-23,,maintenance,Communication,EXP-2025-00022,2025-07-23,paid,2025-09-04
23,Imaginer Dépense,57.63,Service par,Impression souvenir assister descendre.,2025-07-22,2025-07-23,,equipment,Services publics,EXP-2025-00023,2025-07-23,paid,2025-08-14
24,Celui Dépense,17.47,Facture Evrard Lebreton SA,Bas noire planche pour histoire et sentier.,2025-07-22,2025-07-22,,marketing,Transport,EXP-2025-00024,2025-07-22,unpaid,2025-08-31
25,Sentiment Dépense,35.32,Remboursement Jacquot,,2025-07-22,2025-07-24,,professional,Transport,EXP-2025-00025,2025-07-24,unpaid,2025-08-05
26,Supposer Dépense,59.66,Note Rolland,Parce Que confier souffrir parfois respect trou.,2025-07-22,2025-07-24,,marketing,Loyer,EXP-2025-00026,2025-07-24,unpaid,2025-09-14
27,Un Frais,21.74,Facture Noël S.A.,,2025-07-22,2025-07-23,,travel,Restauration,EXP-2025-00027,2025-07-23,unpaid,2025-09-05
28,Savoir Achat,73.74,Achat soleil,,2025-07-22,2025-07-23,,travel,Logiciels,EXP-2025-00028,2025-07-23,paid,2025-08-11
29,Vent Frais,33.77,Frais commun,,2025-07-22,2025-07-23,,research,Formation,EXP-2025-00029,2025-07-25,paid,2025-08-30
30,Non Achat,43.23,Achat mariage,Personne minute attendre.,2025-07-22,2025-07-22,,travel,Formation,EXP-2025-00030,2025-07-22,unpaid,2025-08-04
31,Nul Dépense,33.74,Facture Mendès S.A.R.L.,,2025-07-22,2025-07-22,,other,Frais de représentation,EXP-2025-00031,2025-07-22,paid,2025-09-02
32,Ce Frais,240.28,Achat chaise,,2025-07-22,2025-07-24,,subscription,Matériel informatique,EXP-2025-00032,2025-07-24,paid,2025-08-05
33,Fonction Achat,54.01,Note LegendreVille,Debout il quarante soi habiller être.,2025-07-22,2025-07-24,,subscription,R&D,EXP-2025-00033,2025-07-24,unpaid,2025-09-07
34,Danger Achat,23.43,Frais curiosité,,2025-07-22,2025-07-23,,professional,Logiciels,EXP-2025-00034,2025-07-23,paid,2025-08-22
35,Chasser Dépense,105.43,Remboursement Gimenez,Tromper complet départ cours ventre pendant.,2025-07-22,2025-07-22,,travel,R&D,EXP-2025-00035,2025-07-22,unpaid,2025-07-25
36,Mouvement Frais,20.56,Remboursement Bourdon,Long sept haut veiller seul soudain.,2025-07-22,2025-07-23,,maintenance,Formation,EXP-2025-00036,2025-07-23,unpaid,2025-09-14
37,Maison Frais,64.53,Service détail,Dernier quinze sombre rouler violent remarquer offrir oublier.,2025-07-22,2025-07-24,,other,Restauration,EXP-2025-00037,2025-07-24,paid,2025-09-09
38,Peine Frais,11.38,Service se,Puissant comme raconter assurer.,2025-07-22,2025-07-24,,food,Transport,EXP-2025-00038,2025-07-24,paid,2025-08-09
39,Clair Frais,18.87,Achat briser,,2025-07-22,2025-07-24,,marketing,Logiciels,EXP-2025-00039,2025-07-24,paid,2025-08-22
40,Papa Facture,63.91,Achat rapporter,Interrompre as ça droite absence.,2025-07-22,2025-07-23,,subscription,Fournitures bureau,EXP-2025-00040,2025-07-23,paid,2025-09-06
41,Table Facture,98.57,Facture Adam,Étranger intérêt beau sang.,2025-07-22,2025-07-22,,lodging,Loyer,EXP-2025-00041,2025-07-22,unpaid,2025-08-12
42,Réserver Dépense,62.62,Note Sanchez,Frais surprendre maître trait.,2025-07-22,2025-07-23,,professional,Assurances,EXP-2025-00042,2025-07-23,unpaid,2025-09-18
43,Monter Dépense,49.77,Achat un,Accomplir yeux médecin.,2025-07-22,2025-07-22,,maintenance,Assurances,EXP-2025-00043,2025-07-22,unpaid,2025-09-05
44,Tenter Frais,42.91,Remboursement Albert,Conclure falloir trente gris.,2025-07-22,2025-07-22,,research,Communication,EXP-2025-00044,2025-07-22,unpaid,2025-08-17
45,Vaste Dépense,16.73,Frais discuter,Produire large charge.,2025-07-22,2025-07-22,,office,Matériel informatique,EXP-2025-00045,2025-08-02,paid,2025-09-03
46,Vrai Dépense,30.7,Service éternel,Blanc ressembler rouler ensemble.,2025-07-22,2025-07-22,,subscription,Marketing,EXP-2025-00046,2025-07-22,paid,2025-09-14
47,Parvenir Frais,37.77,Remboursement Bouvier,Placer paraître moyen apparence ah discussion.,2025-07-22,2025-07-22,,professional,Déplacements,EXP-2025-00047,2025-07-25,paid,2025-09-05
48,Peur Frais,127.19,Frais consulter,,2025-07-22,2025-07-23,,marketing,Marketing,EXP-2025-00048,2025-07-23,paid,2025-07-24
49,Chat Frais,71.87,Frais puissant,,2025-07-22,2025-07-23,,lodging,Abonnements,EXP-2025-00049,2025-07-24,unpaid,2025-08-05
50,Trace Dépense,13.32,Frais risquer,,2025-07-22,2025-07-22,,professional,Communication,EXP-2025-00050,2025-08-07,paid,2025-08-10
51,Enfance Frais,70.76,Frais vêtir,,2025-07-22,2025-07-24,,research,Logiciels,EXP-2025-00051,2025-07-24,paid,2025-08-02
52,Fidèle Achat,40.12,Frais saint,,2025-07-22,2025-07-24,,other,Déplacements,EXP-2025-00052,2025-07-24,unpaid,2025-08-16
53,Élément Facture,31.77,Remboursement Ferreira,Seulement quatre rose rose condamner fin.,2025-07-22,2025-07-23,,food,Services publics,EXP-2025-00053,2025-07-23,paid,2025-08-09
54,Public Dépense,89.06,Facture Aubry Roy S.A.S.,,2025-07-22,2025-07-22,,travel,Déplacements,EXP-2025-00054,2025-07-22,paid,2025-09-06
55,Demi Achat,124.56,Facture Carlier,Prière peu vraiment mal erreur lit oeil répéter.,2025-07-22,2025-07-22,,office,Frais bancaires,EXP-2025-00055,2025-07-24,paid,2025-09-06
56,Courir Achat,115.01,Achat gauche,,2025-07-22,2025-07-22,,food,Frais de représentation,EXP-2025-00056,2025-07-22,unpaid,2025-08-01
57,Plaisir Frais,27.9,Service nécessaire,,2025-07-22,2025-07-23,,marketing,Maintenance,EXP-2025-00057,2025-07-23,paid,2025-08-18
58,Juste Achat,42.63,Remboursement Poirier,Vrai blanc tout beaux projet.,2025-07-22,2025-07-22,,marketing,Marketing,EXP-2025-00058,2025-07-31,unpaid,2025-08-09
59,Français Facture,71.17,Facture Louis S.A.,,2025-07-22,2025-07-22,,other,Hébergement,EXP-2025-00059,2025-07-22,paid,2025-09-03
60,Oui Facture,119.16,Frais fauteuil,,2025-07-22,2025-07-24,,marketing,Services publics,EXP-2025-00060,2025-07-24,paid,2025-09-17
61,Triste Facture,37.21,Remboursement Ramos,Blanc lettre liberté livre acte robe dos type.,2025-07-22,2025-07-22,,travel,Loyer,EXP-2025-00061,2025-07-28,paid,2025-09-13
62,Impossible Achat,47.06,Achat mener,Doute enfin simplement poussière reprendre.,2025-07-22,2025-07-22,,travel,Hébergement,EXP-2025-00062,2025-07-22,paid,2025-09-11
