INVOICE_ID,CLIENT_ID,INVOICE_DATE,PAYMENT_DATE,STATUS,INVOICE_NUMBER,INVOICE_YEAR,PO,PU,QUANTITY,ELECTRONIC_DATE,PHYSICAL_DATE,EXPECTED_PAYMENT_DATE,LABEL,CLIENT_TYPE,CREATED_AT,TOTAL_HT,AMOUNT_TTC,MONTANT_TVA,RAS_5P,RAS_TVA,AMOUNT_TO_PAY
1,222,2025-07-22,,UNPAID,FACT-2025-000001,2025,,166.67,36,2025-07-22,2025-07-25,2025-08-24,Prestation L'avantage de changer avant-tout,PRIVATE,2025-07-22,6000.22,6330.23,330.01,0.0,0.0,6330.23
2,554,2025-07-22,2025-07-22,PAID,FACT-2025-000002,2025,PO-4898,177.61,2,2025-07-23,2025-07-25,2025-08-20,Prestation Le plaisir de louer sans soucis,PUBLIC,2025-07-22,355.22,426.26,71.04,17.76,53.28,355.22
3,603,2025-07-22,2025-07-22,PAID,FACT-2025-000003,2025,PO-2041,25.09,54,2025-07-23,2025-07-24,2025-08-28,Prestation Le confort d'innover plus facilement,PRIVATE,2025-07-22,1354.91,1625.89,270.98,0.0,0.0,1625.89
4,488,2025-07-22,2025-07-22,PAID,FACT-2025-000004,2025,PO-9543,157.75,29,2025-07-23,2025-07-26,2025-10-10,Prestation L'assurance d'évoluer naturellement,PRIVATE,2025-07-22,4574.85,5489.82,914.97,0.0,0.0,5489.82
5,309,2025-07-22,,SENT,FACT-2025-000005,2025,PO-8267,154.33,55,2025-07-23,2025-07-24,2025-08-13,Prestation L'avantage d'innover autrement,PRIVATE,2025-07-22,8488.26,10185.91,1697.65,0.0,0.0,10185.91
6,76,2025-07-22,2025-07-22,PAID,FACT-2025-000006,2025,PO-6327,34.42,82,2025-07-22,2025-07-25,2025-08-24,Prestation L'assurance de rouler de manière sûre,PUBLIC,2025-07-22,2822.66,3387.19,564.53,141.13,423.4,2822.66
7,391,2025-07-22,2025-07-22,PAID,FACT-2025-000007,2025,,468.75,13,2025-07-24,2025-07-29,2025-09-12,Prestation Le droit de changer avant-tout,PUBLIC,2025-07-22,6093.73,7312.48,1218.75,304.69,914.06,6093.73
8,118,2025-07-22,2025-07-22,PAID,FACT-2025-000008,2025,,167.78,53,2025-07-24,2025-07-29,2025-09-02,Prestation Le plaisir de louer avant-tout,PRIVATE,2025-07-22,8892.1,9781.31,889.21,0.0,0.0,9781.31
9,409,2025-07-22,2025-07-22,PAID,FACT-2025-000009,2025,,139.26,48,2025-07-23,2025-07-24,2025-09-15,Prestation L'art de changer sans soucis,PUBLIC,2025-07-22,6684.57,8021.48,1336.91,334.23,1002.69,6684.57
10,704,2025-07-22,,UNPAID,FACT-2025-000010,2025,,78.69,13,2025-07-23,2025-07-24,2025-08-17,Prestation L'avantage d'atteindre vos buts naturellement,PRIVATE,2025-07-22,1022.98,1227.58,204.6,0.0,0.0,1227.58
11,134,2025-07-22,2025-07-22,PARTIAL,FACT-2025-000011,2025,PO-6793,65.82,86,2025-07-24,2025-07-25,2025-10-20,Prestation Le droit d'évoluer de manière efficace,PUBLIC,2025-07-22,5660.67,6792.8,1132.13,283.03,849.1,5660.67
12,682,2025-07-22,2025-07-22,PAID,FACT-2025-000012,2025,PO-8900,48.4,74,2025-07-23,2025-07-24,2025-09-11,Prestation L'assurance d'avancer plus rapidement,PRIVATE,2025-07-22,3581.3,4297.56,716.26,0.0,0.0,4297.56
13,230,2025-07-22,2025-07-22,PAID,FACT-2025-000013,2025,PO-8030,103.38,74,2025-07-22,2025-07-25,2025-10-16,Prestation Le pouvoir de concrétiser vos projets à sa source,PUBLIC,2025-07-22,7649.8,9179.76,1529.96,382.49,1147.47,7649.8
14,575,2025-07-22,2025-07-22,PAID,FACT-2025-000014,2025,PO-3955,104.47,89,2025-07-24,2025-07-29,2025-10-16,Prestation L'art de changer à la pointe,PUBLIC,2025-07-22,9297.93,11157.52,1859.59,464.9,1394.69,9297.93
15,280,2025-07-22,2025-07-22,PAID,FACT-2025-000015,2025,PO-2140,99.79,19,2025-07-24,2025-07-27,2025-09-18,Prestation L'art de louer à la pointe,PRIVATE,2025-07-22,1895.92,2275.1,379.18,0.0,0.0,2275.1
16,146,2025-07-22,2025-07-22,PAID,FACT-2025-000016,2025,PO-7062,41.29,54,2025-07-24,2025-07-25,2025-08-17,Prestation Le confort d'atteindre vos buts en toute tranquilité,PRIVATE,2025-07-22,2229.82,2452.8,222.98,0.0,0.0,2452.8
17,320,2025-07-22,2025-07-22,PAID,FACT-2025-000017,2025,,442.25,20,2025-07-24,2025-07-27,2025-10-17,Prestation Le droit d'innover en toute tranquilité,PRIVATE,2025-07-22,8845.09,9331.57,486.48,0.0,0.0,9331.57
18,51,2025-07-22,2025-07-22,PAID,FACT-2025-000018,2025,PO-4531,55.1,78,2025-07-24,2025-07-25,2025-09-09,Prestation Le droit de louer plus rapidement,PRIVATE,2025-07-22,4297.75,4727.52,429.78,0.0,0.0,4727.52
19,774,2025-07-22,2025-07-22,PAID,FACT-2025-000019,2025,PO-6053,33.38,87,2025-07-24,2025-07-25,2025-09-19,Prestation Le droit de concrétiser vos projets avant-tout,PRIVATE,2025-07-22,2904.14,3484.97,580.83,0.0,0.0,3484.97
20,47,2025-07-22,2025-07-22,PAID,FACT-2025-000020,2025,,110.14,28,2025-07-22,2025-07-26,2025-08-13,Prestation L'assurance d'avancer de manière sûre,PRIVATE,2025-07-22,3084.05,3253.67,169.62,0.0,0.0,3253.67
21,297,2025-07-22,2025-07-22,PAID,FACT-2025-000021,2025,PO-4770,256.68,17,2025-07-23,2025-07-24,2025-08-06,Prestation L'avantage d'évoluer à la pointe,PRIVATE,2025-07-22,4363.48,4799.83,436.35,0.0,0.0,4799.83
22,513,2025-07-22,2025-07-22,PAID,FACT-2025-000022,2025,PO-2275,132.97,56,2025-07-24,2025-07-27,2025-08-15,Prestation La liberté de concrétiser vos projets en toute tranquilité,PRIVATE,2025-07-22,7446.21,7855.75,409.54,0.0,0.0,7855.75
23,321,2025-07-22,2025-07-22,PAID,FACT-2025-000023,2025,PO-1341,169.41,38,2025-07-24,2025-07-28,2025-10-18,Prestation Le pouvoir de louer sans soucis,PUBLIC,2025-07-22,6437.4,7724.88,1287.48,321.87,965.61,6437.4
24,333,2025-07-22,,UNPAID,FACT-2025-000024,2025,PO-2734,767.14,12,2025-07-22,2025-07-27,2025-10-03,Prestation L'art de louer en toute tranquilité,PUBLIC,2025-07-22,9205.72,11046.86,1841.14,460.29,1380.86,9205.72
25,250,2025-07-22,2025-07-22,PAID,FACT-2025-000025,2025,,100.45,40,2025-07-23,2025-07-28,2025-09-26,Prestation La possibilité de concrétiser vos projets à l'état pur,PUBLIC,2025-07-22,4018.09,4821.71,803.62,200.9,602.71,4018.09
26,227,2025-07-22,2025-07-22,PAID,FACT-2025-000026,2025,,18.62,66,2025-07-23,2025-07-25,2025-08-15,Prestation L'avantage d'évoluer plus facilement,PRIVATE,2025-07-22,1228.86,1296.45,67.59,0.0,0.0,1296.45
27,358,2025-07-22,2025-07-22,PAID,FACT-2025-000027,2025,PO-2234,114.53,23,2025-07-23,2025-07-25,2025-09-05,Prestation Le droit d'atteindre vos buts à sa source,PRIVATE,2025-07-22,2634.09,3160.91,526.82,0.0,0.0,3160.91
28,182,2025-07-22,,UNPAID,FACT-2025-000028,2025,PO-6295,131.43,58,2025-07-24,2025-07-28,2025-10-04,Prestation L'art de changer avant-tout,PUBLIC,2025-07-22,7622.78,9147.34,1524.56,381.14,1143.42,7622.78
29,643,2025-07-22,2025-07-22,PAID,FACT-2025-000029,2025,,114.82,39,2025-07-23,2025-07-25,2025-10-01,Prestation L'art d'innover naturellement,PUBLIC,2025-07-22,4477.86,5373.43,895.57,223.89,671.68,4477.86
30,606,2025-07-22,2025-07-22,PAID,FACT-2025-000030,2025,PO-5703,934.25,5,2025-07-22,2025-07-25,2025-10-09,Prestation La possibilité de concrétiser vos projets plus facilement,PRIVATE,2025-07-22,4671.25,4928.17,256.92,0.0,0.0,4928.17
31,79,2025-07-22,2025-07-22,PAID,FACT-2025-000031,2025,PO-4084,61.53,95,2025-07-24,2025-07-25,2025-10-09,Prestation La possibilité de louer autrement,PRIVATE,2025-07-22,5845.26,6166.75,321.49,0.0,0.0,6166.75
32,330,2025-07-22,2025-07-22,PAID,FACT-2025-000032,2025,,50.9,14,2025-07-24,2025-07-28,2025-10-09,Prestation L'assurance de concrétiser vos projets en toute tranquilité,PRIVATE,2025-07-22,712.55,783.8,71.25,0.0,0.0,783.8
33,87,2025-07-22,2025-07-22,PAID,FACT-2025-000033,2025,PO-3600,77.79,57,2025-07-24,2025-07-26,2025-08-11,Prestation La liberté de louer naturellement,PRIVATE,2025-07-22,4433.81,5320.57,886.76,0.0,0.0,5320.57
34,373,2025-07-22,2025-07-22,PAID,FACT-2025-000034,2025,PO-6482,44.8,77,2025-07-23,2025-07-26,2025-09-24,Prestation L'art de louer à la pointe,PUBLIC,2025-07-22,3449.83,4139.8,689.97,172.49,517.47,3449.83
35,68,2025-07-22,2025-07-22,PAID,FACT-2025-000035,2025,,31.32,93,2025-07-23,2025-07-24,2025-10-16,Prestation L'art d'avancer à l'état pur,PUBLIC,2025-07-22,2913.06,3495.67,582.61,145.65,436.96,2913.06
36,618,2025-07-22,2025-07-22,PAID,FACT-2025-000036,2025,PO-7421,33.34,45,2025-07-22,2025-07-25,2025-08-16,Prestation La possibilité d'innover à l'état pur,PUBLIC,2025-07-22,1500.14,1800.17,300.03,75.01,225.02,1500.14
37,133,2025-07-22,2025-07-22,PAID,FACT-2025-000037,2025,PO-9624,150.48,43,2025-07-24,2025-07-25,2025-09-14,Prestation Le droit de rouler en toute tranquilité,PRIVATE,2025-07-22,6470.58,6826.46,355.88,0.0,0.0,6826.46
38,96,2025-07-22,2025-07-22,PAID,FACT-2025-000038,2025,,153.74,24,2025-07-24,2025-07-28,2025-10-10,Prestation Le pouvoir de concrétiser vos projets à l'état pur,PUBLIC,2025-07-22,3689.72,4427.66,737.94,184.49,553.46,3689.72
39,350,2025-07-22,,SENT,FACT-2025-000039,2025,,43.0,38,2025-07-23,2025-07-25,2025-09-03,Prestation La liberté de concrétiser vos projets à sa source,PUBLIC,2025-07-22,1633.96,1960.75,326.79,81.7,245.09,1633.96
40,104,2025-07-22,2025-07-22,PAID,FACT-2025-000040,2025,PO-7172,34.69,99,2025-07-24,2025-07-29,2025-10-12,Prestation L'art de louer de manière efficace,PRIVATE,2025-07-22,3433.97,4120.76,686.79,0.0,0.0,4120.76
41,158,2025-07-22,2025-07-22,PAID,FACT-2025-000041,2025,PO-4891,11.33,47,2025-07-22,2025-07-24,2025-08-27,Prestation L'art d'atteindre vos buts de manière efficace,PUBLIC,2025-07-22,532.56,639.07,106.51,26.63,79.88,532.56
42,455,2025-07-22,2025-07-22,PAID,FACT-2025-000042,2025,PO-8218,40.46,61,2025-07-24,2025-07-27,2025-10-02,Prestation L'avantage d'atteindre vos buts plus rapidement,PRIVATE,2025-07-22,2467.77,2603.5,135.73,0.0,0.0,2603.5
43,473,2025-07-22,2025-07-22,PAID,FACT-2025-000043,2025,PO-5096,371.77,26,2025-07-23,2025-07-27,2025-10-09,Prestation L'avantage de rouler à l'état pur,PRIVATE,2025-07-22,9666.05,11599.26,1933.21,0.0,0.0,11599.26
44,54,2025-07-22,2025-07-22,PAID,FACT-2025-000044,2025,,16.65,67,2025-07-24,2025-07-28,2025-09-22,Prestation Le pouvoir de concrétiser vos projets sans soucis,PUBLIC,2025-07-22,1115.64,1338.77,223.13,55.78,167.35,1115.64
45,292,2025-07-22,2025-07-22,PAID,FACT-2025-000045,2025,,92.54,56,2025-07-22,2025-07-24,2025-09-09,Prestation Le droit d'atteindre vos buts à sa source,PRIVATE,2025-07-22,5182.19,5467.21,285.02,0.0,0.0,5467.21
46,228,2025-07-22,2025-07-22,PAID,FACT-2025-000046,2025,PO-2337,83.85,48,2025-07-23,2025-07-26,2025-08-09,Prestation L'art d'avancer autrement,PUBLIC,2025-07-22,4024.89,4829.87,804.98,201.24,603.73,4024.89
47,384,2025-07-22,,OVERDUE,FACT-2025-000047,2025,PO-3392,100.09,84,2025-07-22,2025-07-23,2025-09-15,Prestation L'avantage de changer à l'état pur,PUBLIC,2025-07-22,8407.85,10089.42,1681.57,420.39,1261.18,8407.85
48,141,2025-07-22,2025-07-22,PAID,FACT-2025-000048,2025,PO-1086,16.2,91,2025-07-22,2025-07-25,2025-10-05,Prestation Le pouvoir de changer avant-tout,PUBLIC,2025-07-22,1474.05,1768.86,294.81,73.7,221.11,1474.05
